score,unit,stratum,storm,metric,polygon_subset,value_new,value_ref,ci_lo_new,ci_lo_ref,ci_hi_new,ci_hi_ref,n_units_new,n_units_ref,n_polygons_new,n_polygons_ref,score_role_new,score_role_ref,post_hoc_design_new,post_hoc_design_ref,confirmatory_new,confirmatory_ref,_merge
L1,area,ALL,ALL,capture_0.05,urban,0.6415428652072791,0.6415428652074251,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.1,all,0.0115063251458461,0.0115063251458456,,,,,1674,1674,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.1,no_landuse_attr,0.7485283225332046,0.7485283225331073,,,,,96,96,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.1,urban,0.7171237572838169,0.7171237572840118,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.2,agricultural,0.0354245834777039,0.0354245834777029,,,,,1506,1506,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.2,all,0.0455487521911029,0.0455487521911011,,,,,1674,1674,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.2,no_landuse_attr,0.7667703812745162,0.7667703812743876,,,,,96,96,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.2,urban,0.8657314392435159,0.8657314392436495,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.3,agricultural,0.0756832840784549,0.075683284078456,,,,,1506,1506,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.3,all,0.0857527755044288,0.0857527755044287,,,,,1674,1674,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.3,no_landuse_attr,0.7959066212754091,0.7959066212752758,,,,,96,96,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.3,urban,0.9339891792137656,0.9339891792137712,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.5,agricultural,0.2358339848569782,0.2358339848569894,,,,,1506,1506,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.5,all,0.2450870494776497,0.24508704947766,,,,,1674,1674,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.5,no_landuse_attr,0.9120974220500948,0.9120974220500144,,,,,96,96,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,capture_0.5,urban,0.959175626645464,0.9591756266454672,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
