floor,normalization,aggregation,weights,components,repeat,spearman_vs_baseline,top20_overlap
0.01,minmax,geometric,dirichlet,HEV,1,0.8454208777882888,8
0.01,minmax,geometric,dirichlet,HEV,2,0.809503066193299,7
0.01,minmax,geometric,dirichlet,HEV,3,0.7971469696317821,6
0.01,minmax,geometric,dirichlet,HEV,4,0.8345009912243593,9
0.01,minmax,geometric,dirichlet,HEV,5,0.7613540275114551,8
0.01,minmax,geometric,dirichlet,HEV,6,0.8252825636150816,7
0.01,minmax,geometric,dirichlet,HEV,7,0.8142690157007577,8
0.01,minmax,geometric,dirichlet,HEV,8,0.8388558055021437,8
0.01,minmax,geometric,dirichlet,HEV,9,0.35111008971185625,2
0.01,minmax,geometric,dirichlet,HEV,10,0.8289717863251089,5
0.01,minmax,geometric,dirichlet,HEV,11,0.8264596554426223,7
0.01,minmax,geometric,dirichlet,HEV,12,0.8223754480637548,3
0.01,minmax,geometric,dirichlet,HEV,13,0.8420680447006516,8
0.01,minmax,geometric,dirichlet,HEV,14,0.8526331986335612,7
0.01,minmax,geometric,dirichlet,HEV,15,0.5063700450499061,3
0.01,minmax,geometric,dirichlet,HEV,16,0.6327646646875292,3
0.01,minmax,geometric,dirichlet,HEV,17,0.6231695045562401,2
0.01,minmax,geometric,dirichlet,HEV,18,0.8252167971879663,8
0.01,minmax,geometric,dirichlet,HEV,19,0.7987804656204817,3
0.01,minmax,geometric,dirichlet,HEV,20,0.8217989337555138,8
0.01,minmax,geometric,dirichlet,HEV,21,0.8445647956524306,9
0.01,minmax,geometric,dirichlet,HEV,22,0.8499318714324821,8
0.01,minmax,geometric,dirichlet,HEV,23,0.8149138615868127,6
0.01,minmax,geometric,dirichlet,HEV,24,0.8287747244710738,9
0.01,minmax,geometric,dirichlet,HEV,25,0.8242369996014277,7
0.01,minmax,geometric,dirichlet,HEV,26,0.8310259734022575,8
0.01,minmax,geometric,dirichlet,HEV,27,0.8282189266195826,6
0.01,minmax,geometric,dirichlet,HEV,28,0.796888262848711,6
0.01,minmax,geometric,dirichlet,HEV,29,0.6949810868098638,3
