score,unit,stratum,set,variant,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,auc_mu,auc_ci_lo,auc_ci_hi,auc_pi_lo,auc_pi_hi,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
hand_neg,object,FLAT,development,main,6,0.768187565335179,0.22403363932135947,0.19229076152419466,1.3440843691461632,-0.5319694353545988,2.068344566024957,0.18223757773517454,0.047662591890216564,2.451826420474836,22.9142893928529,0.0003505421609642937,0.7817955462516097,0.7090476411726345,0.9920862227958296,0.42689293474497153,False,0.6831286973769486,0.5479251091200555,0.7931608120727767,0.3700576657575306,0.8877881523709545,0.4176965062982779,2016,3.3838632746897304,0.1962015863631445,2016,5.766158439095913,0.6550528158708103,0.6793528075413855,0.6765304608913165,2006;2012;2014;2016;2019;2025,131,633,49,,m2_20260926T165115Z_1ffdde7
hand_neg,object,URBAN,development,main,5,0.8513939379343135,0.23649830823317777,0.1947693676527481,1.508018508215879,-0.6520538552178207,2.354841731086448,0.17348300334076683,0.02107157518403693,2.7781974227832396,15.452277305995521,0.003849485835650254,0.7411384794105403,0.3261107391395226,0.9845686704951491,0.41651290897253934,False,0.7008594709912543,0.5485389945135962,0.8187673641956636,0.3425268551139284,0.9133183054788271,0.5853259559657754,2012,2.435581438741089,0.26943874434619025,2012,4.588570851041145,0.6602883795680867,0.6928377986405739,0.6580180627541045,2006;2012;2014;2016;2019,77,351,31,,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,AGRI,development,main,4,0.9117946586742784,0.1558194979599794,0.41590747310037973,1.407681844248177,-0.2999922648444844,2.123581582193041,0.05503977764612558,0.0,1.1156687956285563,7.559079594580721,0.05605971882219105,0.6031262850902153,0.0,0.9657037943140115,0.23460557888960268,False,0.713367264999044,0.6025035305708032,0.8034000521286759,0.4255593741124879,0.8931741444631093,0.5689985090022088,2014,2.58113496513477,0.35056614000302094,2014,3.779973038107936,0.7210699341823117,0.7247747361821003,0.7262661510467632,2006;2012;2014;2025,216,216,33,,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,AGRI,development,main,4,0.763342048752433,0.1507476507635372,0.2835957445498153,1.2430883529550507,-0.3986224208482536,1.9253065183531195,0.0502063032906068,0.0,1.0741027096327833,6.888369625448578,0.07554221814430123,0.5644833011113807,0.0,0.9649810851828967,0.22406763106394195,False,0.6820788885587776,0.5704275472782617,0.7761011292691514,0.40164336303213277,0.8727290117532176,0.37309923762399644,2012,3.446010901004617,0.30330129959825075,2012,3.860374533690834,0.68795,0.6895212121212122,0.70355,2006;2012;2014;2025,33,216,33,,m2_20260926T165115Z_1ffdde7
hand_neg,object,AGRI,development,main,4,0.8613477777281148,0.13415103754145033,0.4344193039543502,1.2882762515018793,-0.217147804929413,1.9398433603856424,0.044833078282591504,0.0,0.9538640621888776,8.16013610679747,0.042815550422588666,0.6323590733369052,0.0,0.9732446214321301,0.21173823056451452,False,0.7029421668029862,0.6069284621677307,0.7838552839580912,0.4459253645041674,0.8743349339734797,0.36436409191796126,2012,3.6301961047365765,0.2892669606243348,2012,3.933637985519753,0.7053049407631662,0.704494104654312,0.7087207061873884,2006;2012;2014;2025,78,216,33,,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,UNIVERSE,development,main,5,1.2965095263955901,0.07007390208720311,1.1019531839434655,1.4910658688477147,1.0735030956013583,1.519515957189822,0.0,0.0,0.1704695189309366,1.5358428259000831,0.8202739579900237,0.0,0.0,0.8148199992696206,0.0,False,0.7852469559734179,0.7506258945199538,0.8162381997652611,0.7452625367303926,0.8204671917693677,0.6785958152842357,2012,2.02832791790498,0.6785958152842357,2012,2.02832791790498,0.7886551889503474,0.7873711086000001,0.7879663094377574,2006;2012;2014;2016;2019,340,340,44,,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,UNIVERSE,development,main,5,1.2287115609239214,0.11486229204712216,0.9098027123978897,1.5476204094499533,0.9302939064627664,1.5271292153850764,0.0,0.0,1.8434954969806254,6.0018908431296385,0.19900710866096524,0.3335433608262306,0.0,0.972932606322973,0.0,False,0.7735929877412381,0.7129597899102242,0.8245697792654821,0.7171349089381067,0.8215858958152161,0.4552494081759393,2016,3.1824239418867966,0.4552494081759393,2016,3.1824239418867966,0.7471,0.7571545454545454,0.7666,2006;2012;2014;2016;2019,44,340,44,,m2_20260926T165115Z_1ffdde7
hand_neg,object,UNIVERSE,development,main,6,1.2545927215807446,0.10655858521463014,0.980675157996912,1.5285102851645773,0.9425969946798104,1.5665884484816788,0.006123127362213496,0.0,1.6535089700887624,9.628230513262148,0.0864811307217113,0.48069377928655904,0.0,0.9802507177271242,0.07825041445394072,False,0.7780938706504191,0.7272421619018806,0.821788246589477,0.7196239396284422,0.8272967206347498,0.2811807469725198,2012,4.235794183749013,0.26850613725155437,2012,4.4140571630846575,0.7403176761323224,0.7626069524160219,0.7894522625421183,2006;2012;2014;2016;2019;2025,105,342,46,,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,URBAN,development,main,4,1.154965390925016,0.12046603744474958,0.7715886951468038,1.538342086703228,0.573397798481856,1.7365329833681757,0.003757481909098712,0.0,0.8720990686800114,2.9363740753641654,0.4015394310061926,0.0,0.0,0.929901794314389,0.06129830266082995,False,0.760416696855467,0.6838644601579901,0.8232235841543267,0.6395468291777395,0.8502461542975666,0.557415323512649,2012,2.4628950681584705,0.5353359514577792,2012,2.5580450404165322,0.7429703430567219,0.7680199157038288,0.7348408887639741,2012;2014;2016;2019,349,349,29,,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,URBAN,development,main,4,1.0596915727905842,0.11919811125809705,0.680349984020457,1.4390331615607115,0.5468234940049529,1.5725596515762157,0.0,0.0,3.613875103629242,2.6017485475403577,0.4571830863692784,0.0,0.0,0.9801626105282637,0.0,False,0.742631600050527,0.663816805734657,0.8083048863159933,0.6333983038159717,0.8281482007388469,0.47071064042654664,2012,2.3967849280269884,0.47071064042654664,2012,2.3967849280269884,0.667625,0.6987103448275862,0.70625,2012;2014;2016;2019,29,349,29,,m2_20260926T165115Z_1ffdde7
