test_event,score,auc_recomputed,ci_lo_recomputed,ci_hi_recomputed,n_clusters,n_pos_cells,se_draw,n_nonfinite_draws,auc,ci_lo,ci_hi,se,included,se_ci,se_ratio,abs_diff_auc,abs_diff_ci,run_id
2012,hand_acc_neg,0.877414821622568,0.8557,0.8887,14,206,0.08148753328276916,0,0.877414821622568,0.8557,0.8887,0.07589554786859054,True,0.07589554786859054,1.0736800190685871,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,L1,0.7910914447573926,0.6387,0.9438,14,206,0.6727640752915583,0,0.7910914447573926,0.6387,0.9438,0.5743144562186939,True,0.5743144562186939,1.171421105644911,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,z_sensitivity,0.8739552913099088,0.7895,0.953,14,206,0.48087737595209396,0,0.8739552913099088,0.7895,0.953,0.4305061558993139,True,0.4305061558993139,1.1170046452589188,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,rf_F1_wf,0.7802727624157164,0.6516,0.8201,14,206,0.23186771633846984,0,0.7802727624157164,0.6516,0.8201,0.22728619463520777,True,0.22728619463520777,1.0201575010335113,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,logit_F1_wf,0.523354218253832,0.2469,0.7895,14,206,0.6977884818730392,0,0.523354218253832,0.2469,0.7895,0.621727956368891,True,0.621727956368891,1.122337309630354,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,slope_neg,0.8131576499973429,0.7106,0.8533,13,132,0.23062474100004146,0,0.8131576499973429,0.7106,0.8533,0.22000956084058976,True,0.22000956084058976,1.0482487220959595,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,relelev_neg,0.6486230616737605,0.5689,0.8232,13,132,0.3323540247894638,0,0.6486230616737605,0.5689,0.8232,0.32164250319340965,True,0.32164250319340965,1.0333025688138395,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,twi,0.7909741916158985,0.7112,0.8246,13,132,0.15948288727504759,0,0.7909741916158985,0.7112,0.8246,0.16495457780195727,True,0.16495457780195727,0.9668291077469887,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,impervious,0.6077199292709204,0.5312,0.7806,13,132,0.2930040356966572,0,0.6077199292709204,0.5312,0.7806,0.2918941256143731,True,0.2918941256143731,1.003802440627909,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,hand_neg,0.8772223114656154,0.8475,0.8957,13,132,0.10757088078940931,0,0.8772223114656154,0.8475,0.8957,0.11102447129134746,True,0.11102447129134746,0.9688934298738939,0.0,0.0,m2_20260926T165115Z_1ffdde7
