model,baseline,unit,stratum,set,omitted,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
rf_F1_wf,slope_neg,cell_gate,ALL,development,2019,4,-0.3461292790649721,0.39357918021437366,-1.598673886974796,0.9064153288448518,-3.8939072545324303,3.2016486964024864,0.5249879690198807,0.11890403669117743,7.677348030904993,31.56032987803563,6.477861455509967e-07,0.9049439593441054,0.6052662786979757,0.9900004943093924,0.7245605350968825,False,0.6149475525298397,2025,2.318842133192775,0.28221191825209874,2025,3.969531250980589,-0.0301080661986379,-0.020748510152354724,-0.03080888896827555,2012;2014;2016;2025,533,533,47,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,development,2025,4,0.17945085803372762,0.3200315289565404,-0.8390322988683104,1.1979340149357656,-1.9694012299078119,2.3283029459752673,0.16652624305117214,0.0,7.473574228334491,6.3452053795365195,0.09597124959292537,0.527202065093891,0.0,0.9798629828045013,0.40807627111996125,False,0.406248085576994,2014,3.212783762262368,0.32724647656590694,2014,3.6731947820493978,0.008992642310696214,-0.009457797991966522,0.034437356229760185,2012;2014;2016;2019,564,564,36,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,holdout,2023-08-10,1,-0.7987905198291074,0.2724079822837488,,,,,,,,,,,,,,False,1.0,2024-09-20,1.0,1.0,2024-09-20,1.0,-0.07980760490176486,-0.07980760490176486,-0.07980760490176486,2024-09-20,1254,1254,52,k=1: 통합 불가,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,holdout,2024-09-20,1,0.5186383127541885,0.3186827493768434,,,,,,,,,,,,,,False,1.0,2023-08-10,1.0,1.0,2023-08-10,1.0,0.06105237324560242,0.06105237324560242,0.06105237324560242,2023-08-10,18,18,3,k=1: 통합 불가,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2012,8,0.13562665413970046,0.2399976975582142,-0.4318777218328832,0.7031310301122841,-1.41338637164563,1.684639679925031,0.3431510680783438,0.09584470221406967,1.3848228695460596,50.36125352939012,1.2267831860356564e-08,0.8610042540757072,0.6355132144709584,0.9618209329020284,0.5857909764398422,False,0.5568778707614824,2024-09-20,2.7793043932278416,0.16355012091410748,2024-09-20,7.605067277544476,0.0339163973528345,0.023278540124293274,0.04785191064622224,2014;2016;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20;2025,289,1655,91,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2014,8,0.028408196317099205,0.24533284803516123,-0.5517118058591701,0.6085281984933686,-1.5572837979543197,1.6141001905885182,0.35976511307840225,0.09957610916927023,1.5279869835831874,50.079108597970425,1.3937397535236419e-08,0.8602211541703901,0.6178195329449799,0.9612493999628109,0.5998042289600851,False,0.5943262143603365,2024-09-20,2.5623729771985797,0.16320326614618447,2024-09-20,7.644250045151779,0.01777160318813782,0.007255461546470216,0.03882623609861413,2012;2016;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20;2025,272,1729,92,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2016,8,0.010085172735459213,0.2358265107374601,-0.5475559137228451,0.5677262591937634,-1.5210429752179104,1.5412133206888288,0.33593513921155715,0.09557881646050055,1.4579595393489084,51.65579062605464,6.825296866588515e-09,0.8644876031290619,0.6576533636452379,0.9670001667740101,0.5795991194019856,False,0.5272779167310878,2024-09-20,3.027665310603146,0.16121773804140804,2024-09-20,7.583041979294185,0.017713388484748058,0.011102211576705911,0.03882623609861413,2012;2014;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20;2025,298,1691,99,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2019,8,0.041972667470197886,0.23371482831629856,-0.5106750835233655,0.5946204184637613,-1.5047245211772808,1.5886698561176766,0.3449299628580738,0.1054444976736378,1.5236850861040663,53.75974804071484,2.62378631108388e-09,0.8697910564108566,0.6915023208075657,0.9700510530733543,0.5873073836229831,False,0.5116077970801162,2024-09-20,3.1977610620473964,0.1543196060076382,2024-09-20,7.715461243147422,0.02002802182503985,0.013361207195202717,0.04785191064622224,2012;2014;2016;2022-09-06;2023-08-10;2024-07-24;2024-09-20;2025,312,1805,102,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2022-09-06,8,0.013401501173109764,0.2309759160537079,-0.532769751461347,0.5595727538075665,-1.5012259914263237,1.528028993772543,0.3298055895484173,0.09752141731313868,1.4161576975135568,52.56754224047579,4.512254809539778e-09,0.8668379821149378,0.6722018867192598,0.9675099377005498,0.5742870271461974,False,0.5146005443034471,2024-09-20,3.1627744061076903,0.15745164734722614,2024-09-20,7.636086493022666,0.013183061762557999,0.012618592761921602,0.03882623609861413,2012;2014;2016;2019;2023-08-10;2024-07-24;2024-09-20;2025,314,1861,105,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2023-08-10,8,0.025525596595347606,0.2391628824311798,-0.540004755282254,0.5910559484729492,-1.533293546902309,1.5843447400930042,0.34864108126129395,0.10071780078923823,1.5053683027067537,52.683603948205494,4.280487838053739e-09,0.8671313373534227,0.6703114468794316,0.9681412008234788,0.5904583653919164,False,0.5260341268686763,2024-09-20,3.0400479949753896,0.15992133763330035,2024-09-20,7.603103745026051,0.018738948405312483,0.013520375482622183,0.04269561696731278,2012;2014;2016;2019;2022-09-06;2024-07-24;2024-09-20;2025,316,1843,102,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2024-07-24,8,0.037139569141180585,0.23231401339428556,-0.512195780915798,0.5864749191981591,-1.5009279860895934,1.5752071243719548,0.34113669815602843,0.10438632780891664,1.50225421950006,53.63014608807124,2.783233372032706e-09,0.8694763950762949,0.6897793458229723,0.9696962464665319,0.58406908680055,False,0.5110540212795409,2024-09-20,3.204375260937427,0.15412699640979932,2024-09-20,7.728423177162182,0.01447067840133795,0.01278262035921841,0.03882623609861413,2012;2014;2016;2019;2022-09-06;2023-08-10;2024-09-20;2025,314,1861,105,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2024-09-20,8,0.05863016110564078,0.25140796609286015,-0.5358552125611526,0.6531155347724342,-1.5682815170982192,1.6855418393095007,0.3788643001150879,0.10675926995951734,1.5604513188309699,49.882199596316006,1.523478420801969e-08,0.8596693799261215,0.5701055383031154,0.950941339239456,0.6155195367452506,False,0.3061981885994735,2014,4.94814501697482,0.15460108698570182,2014,7.695199448943848,0.021674322374087174,0.004801255756180213,0.04785191064622224,2012;2014;2016;2019;2022-09-06;2023-08-10;2024-07-24;2025,136,607,53,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,2025,8,0.20437368840083397,0.1259494940297114,-0.09344953965766217,0.5021969164593301,-0.41280692213718123,0.8215542989388491,0.0477558802849232,0.0,0.32439993651198357,10.461469203052683,0.163895326161071,0.33087792315467673,0.0,0.8501281733652214,0.21853118835745894,False,0.5693839217058759,2024-09-20,2.6966569537129814,0.2793633265993037,2024-09-20,5.696492118809644,0.03639769522596763,0.020450366272492013,0.04785191064622224,2012;2014;2016;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20,301,1836,91,,m2_20260926T165115Z_1ffdde7
