model,baseline,unit,stratum,set,variant,rho,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
rf_F1_wf,slope_neg,cluster_gate,URBAN,combined,main,0.0,6,0.007585802534105291,0.22465263527481394,-0.5699021810311613,0.585073786099372,-0.6331669008259816,0.6483385058941923,0.0027913835309042617,0.0,1.589314734976749,5.003337734063779,0.4154729808275739,0.0006671014912814697,0.0,0.8367299486207072,0.052833545507605884,False,0.2581794555624836,2023-08-10,5.126259407978537,0.2572783944665007,2023-08-10,5.137612532344211,-0.0015833333333333255,-0.028588372093023253,0.0348,2012;2014;2016;2019;2023-08-10;2024-09-20,43,385,43,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,URBAN,combined,main,0.0,8,0.17163425562488388,0.13792262078632256,-0.15450091832968943,0.4977694295794572,-0.16585023971814356,0.5091187509679114,0.0,0.0,0.048313949684520914,2.092723771370867,0.9545303958192392,0.0,0.0,0.21911771037310604,0.0,False,0.4016571206137572,2024-09-20,4.412516144346769,0.4016571206137572,2024-09-20,4.412516144346769,0.04241675278752961,0.0360311868938823,0.04291364334288611,2012;2014;2016;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20,151,385,43,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,AGRI,combined,main,0.0,4,-0.34088153660921994,0.3142063603526397,-1.3408264072101195,0.6590633339916796,-2.921713174996925,2.2399501017784855,0.26106243220316594,0.0,5.137461350683849,8.999334469903866,0.029299736429178824,0.6666420155809536,0.0,0.9791928837785357,0.5109426897443253,False,0.4837908164165343,2025,2.7984549321573424,0.3190862616907941,2025,3.769083435331031,-0.040644111686737844,-0.10914293467740668,-0.06706365780768142,2012;2014;2024-09-20;2025,1239,1239,77,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,AGRI,combined,main,0.0,4,-0.05235940376670586,0.29459893578923135,-0.9899046985096575,0.8851858909762457,-2.531610339244977,2.4268915317115654,0.24523462886249728,0.0283159471402476,3.9231745827362587,14.865243634324017,0.0019355048099151896,0.7981869605505176,0.2685041800247147,0.9807159828582405,0.49521170105571743,False,0.5060649560037429,2024-09-20,2.6279768692706376,0.31364270792208326,2024-09-20,3.812322833843264,0.008025000000000032,0.0316467532467533,0.02485000000000004,2012;2014;2024-09-20;2025,77,1239,77,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,AGRI,combined,main,0.0,4,-0.14805868200595293,0.33100433752464936,-1.2014622129941546,0.9053448489822488,-3.1250360324132416,2.828918668401336,0.3691527097707301,0.08387829258416807,5.160859889220108,34.306741964375504,1.7067207112188365e-07,0.9125536314956625,0.6497546073611367,0.9913151500495734,0.6075793855709146,False,0.5462427636121463,2024-09-20,2.5525051121461635,0.28389257559496384,2024-09-20,3.922295438590043,-0.018266238940237198,0.03209886117268003,0.011680148279267527,2012;2014;2024-09-20;2025,168,1239,77,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,UNIVERSE,combined,main,0.0,6,-0.16472485504228288,0.3034758013330986,-0.9448342375043209,0.6153845274197552,-1.9891318712978228,1.659682161213257,0.33968518518172125,0.0339673454073776,2.7394067300162748,16.891728350233528,0.004709781026448616,0.7039971341990664,0.1561458555910727,0.9371980144090533,0.5828251754872307,False,0.4828870666828382,2024-09-20,3.4488222431320392,0.2339462653040408,2024-09-20,5.760785565827861,-0.03984750462104791,-0.08109834776226295,0.024796712594481185,2012;2014;2016;2019;2023-08-10;2024-09-20,437,437,104,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,UNIVERSE,combined,main,0.0,6,-0.12546223346545324,0.2748354257407568,-0.831949186664016,0.5810247197331094,-1.7026112790482797,1.4516868121173734,0.24714195529687674,0.011779115018167037,1.395972123537639,14.828079398516397,0.011122749669109606,0.6628019134763826,0.06587774628083301,0.89313884140782,0.4971337398496271,False,0.5628901475987498,2024-09-20,2.7753738673788146,0.26493647251748825,2024-09-20,5.411793820103909,-0.00993333333333335,-0.10970288461538466,0.018400000000000027,2012;2014;2016;2019;2023-08-10;2024-09-20,104,437,104,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,UNIVERSE,combined,main,0.0,9,-0.0515701604949692,0.13187055980266332,-0.3556642167115991,0.2525238957216607,-0.5172816854565391,0.41414136446660066,0.021399254498053782,0.0,0.8380820147233898,8.823530941443058,0.3574008278193208,0.09333349051625503,0.0,0.8572342002223536,0.14628484028789102,False,0.5529759759046045,2024-09-20,2.891223655994992,0.4136729792044778,2024-09-20,4.252406099713494,-0.014971201101464006,-0.02210079841572237,0.037883468402005405,2012;2014;2016;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20;2025,239,439,106,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,relelev_neg,cell_gate,ALL,development,main,0.0,5,1.8486453045538764,0.4057981641364773,0.7219689780389034,2.9753216310688497,-0.8783106128075662,4.575601221915319,0.5928372574614525,0.13291810491639217,7.913696941734826,26.099923606849927,3.0209862130917924e-05,0.8467428464445697,0.7142060634411854,0.9933238655633954,0.7699592570139361,False,0.7100327247895855,2025,1.8599625518390968,0.235073951361247,2025,4.869140958091035,0.3281761555373041,0.2751184881075958,0.3478026991735148,2012;2014;2016;2019;2025,589,589,50,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,relelev_neg,cluster_gate,ALL,development,main,0.0,5,1.297760775296235,0.4639719997040122,0.009567987769198316,2.5859535628232715,-2.151699541890465,4.747221092482935,0.95957380292518,0.283429099590236,8.326424643673269,81.9009339309496,6.889297908443186e-17,0.9511605080917345,0.8260047053313317,0.9928806896075429,0.9795783801846486,False,0.7814967681416448,2025,1.6001659373805526,0.2226768745464535,2025,4.939165710447842,0.23842,0.206924,0.32310000000000005,2012;2014;2016;2019;2025,50,589,50,,m2_20260926T165115Z_1ffdde7
