grid_id,cdri,grade_code,in_robust_core,primary_cause,h_shap,e_shap,v_shap,d_shap,baseline,reconstructed,xai_main_positive
라라792841,0.24478108538178184,R1,0,V,0.004429435421569115,-0.15208032816887193,0.08536787049947056,-0.06210199975391036,0.36916610738352446,0.24478108538178184,V
라라792842,0.25210172316271046,R1,0,V,0.002409076095984765,-0.10678996042164235,0.08568394949315578,-0.09836744938831211,0.36916610738352446,0.2521017231627105,V
라라792843,0.2631707763667552,R1,0,V,0.019097935932133853,-0.07987759699022295,0.08657081698749039,-0.13178648694617068,0.36916610738352446,0.26317077636675507,V
라라792844,0.23563228294755506,R1,0,V,0.02039613895522084,-0.1506661516793836,0.08468691430087631,-0.0879507260126829,0.36916610738352446,0.2356322829475551,V
라라792845,0.26411137194097345,R1,0,V,0.015166364904717186,-0.15527166119413932,0.08695959948289657,-0.051909038636025445,0.36916610738352446,0.26411137194097345,V
라라792855,0.3852773551871641,R2,0,V,-0.008601326136338561,-0.17528250820340785,0.09845662392409268,0.10153845821929325,0.36916610738352446,0.385277355187164,D
라라792877,0.5046303079853955,R3,0,D,-0.013049550785349077,-0.14424855552632945,0.10750800503107277,0.18525430188247688,0.36916610738352446,0.5046303079853955,D
라라793807,0.3762970545859339,R2,0,D,-0.020406791967804164,-0.17394170833040729,0.08775129591187428,0.1137281515887465,0.36916610738352446,0.37629705458593377,D
라라793808,0.40165889121039744,R2,0,V,-0.028849577767749608,-0.1321039564938425,0.08907988385774608,0.1043664342307189,0.36916610738352446,0.40165889121039733,D
라라793830,0.32303568581371117,R2,0,V,-0.02044323481396015,-0.11467934863383844,0.09126174817302526,-0.002269586295039971,0.36916610738352446,0.32303568581371117,V
라라793831,0.3240571505190003,R2,0,V,-0.011354819539124454,-0.12268296792488988,0.09139707321498172,-0.0024682426154914354,0.36916610738352446,0.3240571505190004,V
라라793841,0.25715434869555026,R1,0,V,-0.0016454289437841778,-0.15410328277860527,0.08636411772084529,-0.0426271646864302,0.36916610738352446,0.2571543486955501,V
라라793843,0.2224912723290616,R1,0,V,-0.01743821275942444,-0.13886831860944063,0.08343019914103725,-0.07379850282663504,0.36916610738352446,0.22249127232906157,V
라라793856,0.4002954296883341,R2,0,V,0.0036611352161902955,-0.17760997880993895,0.09963142649698198,0.1054467394015762,0.36916610738352446,0.400295429688334,D
라라793858,0.4418096595119717,R3,0,V,-0.0067185417407275546,-0.15278150961661208,0.10262579562934075,0.12951780785644612,0.36916610738352446,0.4418096595119717,D
라라793859,0.5346285342113473,R3,0,V,0.02135375665670625,-0.11435418731193461,0.10913760328379181,0.14932525419925924,0.36916610738352446,0.5346285342113472,D
라라793861,0.5334755945821376,R3,0,D,0.0063245110450360405,-0.12269358963633903,0.10926804542687363,0.17141052036304244,0.36916610738352446,0.5334755945821376,D
라라793862,0.5209452897997775,R3,0,D,-0.0008373637704104698,-0.13647987816050164,0.10855932300893556,0.18053710133822956,0.36916610738352446,0.5209452897997775,D
라라794805,0.44864434036526757,R3,0,D,-0.013167734691087785,-0.13757584639594878,0.09241600701743607,0.13780580705134338,0.36916610738352446,0.44864434036526735,D
라라794809,0.3951856055037574,R2,0,V,-0.02212541328641983,-0.12272596361095078,0.08846623222363134,0.08240464279397212,0.36916610738352446,0.3951856055037573,V
라라794810,0.38990774067473727,R2,0,V,-0.04738339224194528,-0.09023304551872172,0.08788444220281108,0.07047362884906863,0.36916610738352446,0.38990774067473716,V
라라794811,0.2736215452107586,R1,0,V,-0.07427857527854537,-0.15733727192673813,0.08022081190920127,0.05585047312331635,0.36916610738352446,0.27362154521075854,V
라라794832,0.31068340017875934,R2,0,V,0.028609284034350445,-0.1628551662044917,0.0907248084405248,-0.014961633475148776,0.36916610738352446,0.31068340017875923,V
라라794833,0.3778156707303532,R2,0,V,0.028872185207329648,-0.12056429241624377,0.0955167038713416,0.004824966684401373,0.36916610738352446,0.3778156707303533,V
라라794834,0.3405144514524162,R2,0,V,-0.01175521515043947,-0.13921353750192605,0.09285593181868487,0.0294611649025723,0.36916610738352446,0.3405144514524161,V
라라795810,0.364329966157913,R2,0,V,-0.0287752994243754,-0.11931826336931242,0.08624564938379646,0.05701177218427991,0.36916610738352446,0.364329966157913,V
라라795811,0.35304667082255703,R2,0,V,-0.04237771340785972,-0.10548664781821092,0.08535649117002146,0.04638843349508189,0.36916610738352446,0.3530466708225572,V
라라795820,0.30995076432251734,R2,0,V,-0.010261711926310837,-0.12099511197113441,0.09027396511951406,-0.01823248428307606,0.36916610738352446,0.3099507643225172,V
라라795821,0.2677718302542621,R1,0,V,-0.01302814606257634,-0.1558694902756051,0.08723033481457863,-0.019726975605659666,0.36916610738352446,0.267771830254262,V
라라795823,0.280652831861198,R1,0,V,0.006097938329452642,-0.15796390055424514,0.08828382384097486,-0.02493113713850891,0.36916610738352446,0.2806528318611979,V
라라795830,0.3012649616838325,R1,0,V,0.01843123279258673,-0.16132554669972587,0.08995891351589631,-0.01496574530844925,0.36916610738352446,0.3012649616838324,V
라라795832,0.37091462266771086,R2,0,V,0.0039585758447229415,-0.0884461868329803,0.09474357540123435,-0.00850744912879058,0.36916610738352446,0.37091462266771086,V
라라795833,0.36789412389297516,R2,0,V,-0.01604143984024252,-0.08827336631710601,0.09453384029461649,0.00850898237218262,0.36916610738352446,0.36789412389297504,V
라라795834,0.3389960754228124,R2,0,V,-0.048726523392251864,-0.10399500721140541,0.09251508594176823,0.030036412701177025,0.36916610738352446,0.3389960754228124,V
라라796806,0.3817196408491452,R2,0,D,-0.02351378223754188,-0.16349784687699084,0.08801736223186511,0.11154780034828839,0.36916610738352446,0.3817196408491452,D
라라796812,0.357701978469661,R2,0,V,-0.0396402166760434,-0.08752758877216366,0.08552253892380972,0.030181137610533874,0.36916610738352446,0.357701978469661,V
라라796820,0.3032824494374667,R1,0,V,-0.01754868275127247,-0.12021898886796037,0.08974742754074018,-0.01786341386756523,0.36916610738352446,0.3032824494374666,V
라라796821,0.2485745547724211,R1,0,V,-0.02900937841023389,-0.1527203796447843,0.08565606887168045,-0.024517863427765584,0.36916610738352446,0.24857455477242113,V
라라796822,0.3116953465150656,R2,0,V,-0.01623205441780939,-0.0943361333159983,0.09022623360369084,-0.037128806738342,0.36916610738352446,0.3116953465150656,V
