score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,run_id
city_flood_map,object,ALL,ALL,observed-label_auc,0.43954326758323864,0.43954326758323853,0.43954326758323864,19,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,0.7910914447573926,0.6387,0.9438,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.8179,0.7562,0.8758,14,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.5583,,,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.583914460597245,,,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.8739552913099088,0.7895,0.953,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.7932,0.6955,0.8788,14,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.7476,,,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.5276901047574326,,,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.7327572226765666,0.566,0.9072,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.6598,0.5495,0.7735,14,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.5922,,,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.4039652620515271,,,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,0.7802727624157164,0.6516,0.8201,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,0.6855,0.6108,0.7615,14,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.6068,,,206,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.3539044767420271,,,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.803161166087212,0.75512221408188,0.8480790189056471,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.8078426543829131,0.7489569250134269,0.8586767804372076,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.6426093838432789,0.5511700564560064,0.7212428156318583,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.697930200561218,0.6369362334778746,0.7535203145185495,30,2012,development,2012,31,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,0.7842200436098241,0.7173,0.8854,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.8225,0.7128,0.9141,13,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.4924,,,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.6179481100951334,,,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.8378485122254055,0.8062,0.8932,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.8572,0.7981,0.9181,13,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.6894,,,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.6408986752154908,,,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.5789676706749699,0.4811,0.748,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.631,0.514,0.768,13,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.2727,,,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.37605378135456563,,,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,0.8522077070862744,0.778,0.8831,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,0.817,0.7714,0.8673,13,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.6742,,,132,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.5161249078528557,,,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.7872517586970172,0.7276980893334015,0.8425317207539614,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.8421796304418592,0.8104509662197552,0.8736944259268739,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.6327244172284664,0.5661283902824854,0.7026226255958303,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.8293385571693932,0.7972314851879627,0.8602143424195294,47,2014,development,2014,47,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,0.9196080255842867,0.8634,0.957,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.9243,0.8725,0.9687,6,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.9353,,,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.8935959886872256,,,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.9540419576045226,0.9304,0.9685,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.9542,0.9311,0.9763,6,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.9824,,,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.9807899242903245,,,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.9566137961232613,0.899,0.9817,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.9575,0.9067,0.9874,6,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.9706,,,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.9310661531027064,,,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,0.9009228561822177,0.8667,0.9155,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,0.9049,0.8593,0.9457,6,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.8588,,,170,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.8216960086919121,,,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.910918916461999,0.8656112421977461,0.9481020113297132,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.9545869503642535,0.9353268684573415,0.9715666672001927,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.9362371191459641,0.8742000784418076,0.9786901356355013,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.907361802580625,0.872050413708203,0.9390096495539905,21,2016,development,2016,21,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,0.9608919944331523,0.7978,0.9662,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.9067,0.7978,0.9662,3,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.9821,,,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
