score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,run_id
hand_acc_neg,object,URBAN,ALL,capture_0.2,0.2857142857142857,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,URBAN,ALL,observed-label_auc,0.06917363045496751,0.0159,0.1225,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cluster_gate,URBAN,ALL,observed-label_auc,0.0692,0.0159,0.1225,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,URBAN,ALL,capture_0.2,0.0,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,object,URBAN,ALL,capture_0.2,0.0,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,URBAN,ALL,observed-label_auc,0.22480140307438357,0.0468,0.4028,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cluster_gate,URBAN,ALL,observed-label_auc,0.2248,0.0468,0.4028,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,URBAN,ALL,capture_0.2,0.0,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,object,URBAN,ALL,capture_0.2,0.0,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,URBAN,ALL,observed-label_auc,0.3613016355792806,0.22359059309146206,0.5073019149002204,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,URBAN,ALL,observed-label_auc,0.2975543899941032,0.12384935290648955,0.4994879116104403,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,URBAN,ALL,observed-label_auc,0.33824214021911175,0.15859610192110735,0.5778719623847801,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,URBAN,ALL,observed-label_auc,0.33181775860463675,0.22961655442102974,0.4089423435026846,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,URBAN,ALL,observed-label_auc,0.6580180627541045,0.502700102417678,0.8133367989820304,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,object,URBAN,ALL,observed-label_auc,0.625865119021756,0.4623227087924025,0.7977293535272028,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,object,URBAN,ALL,observed-label_auc,0.036172061698892026,0.0141367431178424,0.06742497129201452,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,object,URBAN,ALL,observed-label_auc,0.1294187020886999,0.05224853356506626,0.2334987275379411,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cell_gate,AGRI,ALL,observed-label_auc,0.685614849187935,0.4767,0.7738,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cluster_gate,AGRI,ALL,observed-label_auc,0.6467,0.4767,0.7738,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cell_gate,AGRI,ALL,capture_0.2,0.3258,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,AGRI,ALL,capture_0.2,0.19484796536717117,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,AGRI,ALL,observed-label_auc,0.4828288884833633,0.4305,0.6575,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cluster_gate,AGRI,ALL,observed-label_auc,0.5532,0.4305,0.6575,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,AGRI,ALL,capture_0.2,0.0,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,AGRI,ALL,capture_0.2,1.5451759588928105e-06,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,AGRI,ALL,observed-label_auc,0.6358367658176699,0.4847,0.7137,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cluster_gate,AGRI,ALL,observed-label_auc,0.6305,0.4847,0.7137,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,AGRI,ALL,capture_0.2,0.1124,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,AGRI,ALL,capture_0.2,0.17610732522506706,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,AGRI,ALL,observed-label_auc,0.4993851942612338,0.4783,0.5421,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cluster_gate,AGRI,ALL,observed-label_auc,0.5181,0.4783,0.5421,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,AGRI,ALL,capture_0.2,0.1236,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,AGRI,ALL,capture_0.2,0.24689549067771854,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,AGRI,ALL,observed-label_auc,0.7824999782754156,0.6262,0.8267,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cluster_gate,AGRI,ALL,observed-label_auc,0.7208,0.6262,0.8267,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,AGRI,ALL,capture_0.2,0.0674,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,AGRI,ALL,capture_0.2,0.1006016133411704,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,AGRI,ALL,observed-label_auc,0.7660729337747769,0.6783,0.8004,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cluster_gate,AGRI,ALL,observed-label_auc,0.7597,0.6783,0.8004,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,AGRI,ALL,capture_0.2,0.1348,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,object,AGRI,ALL,capture_0.2,0.18406418472056324,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,AGRI,ALL,observed-label_auc,0.29385541854584324,0.2653,0.3076,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cluster_gate,AGRI,ALL,observed-label_auc,0.2825,0.2653,0.3076,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,AGRI,ALL,capture_0.2,0.0,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,object,AGRI,ALL,capture_0.2,0.0,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,AGRI,ALL,observed-label_auc,0.6325416894774804,0.4672,0.712,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cluster_gate,AGRI,ALL,observed-label_auc,0.5671,0.4672,0.712,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,AGRI,ALL,capture_0.2,0.2022,,,89,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,object,AGRI,ALL,capture_0.2,0.11104057253059332,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,AGRI,ALL,observed-label_auc,0.6267469389865379,0.536108040771584,0.7206979637663911,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,AGRI,ALL,observed-label_auc,0.481760388796808,0.4381435544830481,0.5192033137316948,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,AGRI,ALL,observed-label_auc,0.5855365189549765,0.48833185914331323,0.674123837175261,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,AGRI,ALL,observed-label_auc,0.563320409640266,0.4884494748985636,0.6430431604393307,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,AGRI,ALL,observed-label_auc,0.7531386604529242,0.6925434380679207,0.80890511070296,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,object,AGRI,ALL,observed-label_auc,0.7214396687694844,0.6508726975825911,0.7837049536936862,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,object,AGRI,ALL,observed-label_auc,0.23772919349227015,0.18337518563264127,0.29242795836402335,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,object,AGRI,ALL,observed-label_auc,0.5386493426746684,0.4399184692150713,0.6299618017567413,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cell_gate,UNIVERSE,ALL,observed-label_auc,0.5769230769230769,0.4847,0.7249,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
