score,stratum,unit,metric,role_group,median,n_events,n_pass_gate
impervious,URBAN,cell_gate,capture_0.2,all,0.3344,6,2
impervious,URBAN,cell_gate,capture_0.2,development,0.4546,4,2
impervious,URBAN,cell_gate,capture_0.2,holdout,0.0476,2,0
impervious,URBAN,cell_gate,observed-label_auc,all,0.5668,6,0
impervious,URBAN,cell_gate,observed-label_auc,development,0.5807,4,0
impervious,URBAN,cell_gate,observed-label_auc,holdout,0.4423,2,0
impervious,URBAN,object,observed-label_auc,all,0.409,9,0
impervious,URBAN,object,observed-label_auc,development,0.409,5,0
impervious,URBAN,object,observed-label_auc,holdout,0.4355,4,0
logit_F1_wf,AGRI,cell_gate,capture_0.2,all,0.236,4,0
logit_F1_wf,AGRI,cell_gate,capture_0.2,development,0.2174,3,0
logit_F1_wf,AGRI,cell_gate,capture_0.2,holdout,0.2545,1,0
logit_F1_wf,AGRI,cell_gate,observed-label_auc,all,0.6594,4,0
logit_F1_wf,AGRI,cell_gate,observed-label_auc,development,0.6417,3,0
logit_F1_wf,AGRI,cell_gate,observed-label_auc,holdout,0.6771,1,0
logit_F1_wf,AGRI,object,observed-label_auc,all,0.6304,4,0
logit_F1_wf,AGRI,object,observed-label_auc,development,0.6064,3,0
logit_F1_wf,AGRI,object,observed-label_auc,holdout,0.6545,1,0
logit_F1_wf,ALL,cell_gate,capture_0.2,all,0.8182,7,6
logit_F1_wf,ALL,cell_gate,capture_0.2,development,0.7294,5,4
logit_F1_wf,ALL,cell_gate,capture_0.2,holdout,0.8813,2,2
logit_F1_wf,ALL,cell_gate,observed-label_auc,all,0.8459,7,6
logit_F1_wf,ALL,cell_gate,observed-label_auc,development,0.8355,5,4
logit_F1_wf,ALL,cell_gate,observed-label_auc,holdout,0.8575,2,2
logit_F1_wf,ALL,object,observed-label_auc,all,0.8446,9,8
logit_F1_wf,ALL,object,observed-label_auc,development,0.8446,5,4
logit_F1_wf,ALL,object,observed-label_auc,holdout,0.8474,4,4
logit_F1_wf,FLAT,cell_gate,capture_0.2,all,0.1667,7,1
logit_F1_wf,FLAT,cell_gate,capture_0.2,development,0.2403,5,1
logit_F1_wf,FLAT,cell_gate,capture_0.2,holdout,0.1236,2,0
logit_F1_wf,FLAT,cell_gate,observed-label_auc,all,0.5624,7,1
logit_F1_wf,FLAT,cell_gate,observed-label_auc,development,0.5624,5,1
logit_F1_wf,FLAT,cell_gate,observed-label_auc,holdout,0.536,2,0
logit_F1_wf,FLAT,object,observed-label_auc,all,0.5584,9,1
logit_F1_wf,FLAT,object,observed-label_auc,development,0.6113,5,1
logit_F1_wf,FLAT,object,observed-label_auc,holdout,0.5473,4,0
logit_F1_wf,UNIVERSE,cell_gate,capture_0.2,all,0.3385,6,1
logit_F1_wf,UNIVERSE,cell_gate,capture_0.2,development,0.4105,4,1
logit_F1_wf,UNIVERSE,cell_gate,capture_0.2,holdout,0.2092,2,0
logit_F1_wf,UNIVERSE,cell_gate,observed-label_auc,all,0.6686,6,3
logit_F1_wf,UNIVERSE,cell_gate,observed-label_auc,development,0.6716,4,2
logit_F1_wf,UNIVERSE,cell_gate,observed-label_auc,holdout,0.6481,2,1
logit_F1_wf,UNIVERSE,object,observed-label_auc,all,0.6716,9,3
logit_F1_wf,UNIVERSE,object,observed-label_auc,development,0.5596,5,2
logit_F1_wf,UNIVERSE,object,observed-label_auc,holdout,0.6778,4,1
logit_F1_wf,URBAN,cell_gate,capture_0.2,all,0.2024,6,1
logit_F1_wf,URBAN,cell_gate,capture_0.2,development,0.2334,4,1
logit_F1_wf,URBAN,cell_gate,capture_0.2,holdout,0.1857,2,0
logit_F1_wf,URBAN,cell_gate,observed-label_auc,all,0.5322,6,1
logit_F1_wf,URBAN,cell_gate,observed-label_auc,development,0.5868,4,1
logit_F1_wf,URBAN,cell_gate,observed-label_auc,holdout,0.4908,2,0
logit_F1_wf,URBAN,object,observed-label_auc,all,0.5063,8,0
logit_F1_wf,URBAN,object,observed-label_auc,development,0.5433,4,0
logit_F1_wf,URBAN,object,observed-label_auc,holdout,0.5063,4,0
relelev_neg,AGRI,cell_gate,capture_0.2,all,0.0522,5,0
relelev_neg,AGRI,cell_gate,capture_0.2,development,0.125,4,0
relelev_neg,AGRI,cell_gate,capture_0.2,holdout,0.0522,1,0
relelev_neg,AGRI,cell_gate,observed-label_auc,all,0.4828,5,1
relelev_neg,AGRI,cell_gate,observed-label_auc,development,0.5849,4,1
relelev_neg,AGRI,cell_gate,observed-label_auc,holdout,0.3617,1,0
relelev_neg,AGRI,object,observed-label_auc,all,0.5808,5,0
relelev_neg,AGRI,object,observed-label_auc,development,0.5685,4,0
relelev_neg,AGRI,object,observed-label_auc,holdout,0.5808,1,0
relelev_neg,ALL,cell_gate,capture_0.2,all,0.003,8,0
relelev_neg,ALL,cell_gate,capture_0.2,development,0.003,6,0
relelev_neg,ALL,cell_gate,capture_0.2,holdout,0.0355,2,0
relelev_neg,ALL,cell_gate,observed-label_auc,all,0.5374,8,0
relelev_neg,ALL,cell_gate,observed-label_auc,development,0.5397,6,0
relelev_neg,ALL,cell_gate,observed-label_auc,holdout,0.5049,2,0
relelev_neg,ALL,object,observed-label_auc,all,0.5782,10,0
relelev_neg,ALL,object,observed-label_auc,development,0.5777,6,0
relelev_neg,ALL,object,observed-label_auc,holdout,0.5867,4,0
relelev_neg,FLAT,cell_gate,capture_0.2,all,0.044,8,0
relelev_neg,FLAT,cell_gate,capture_0.2,development,0.021,6,0
relelev_neg,FLAT,cell_gate,capture_0.2,holdout,0.0598,2,0
relelev_neg,FLAT,cell_gate,observed-label_auc,all,0.5167,8,0
relelev_neg,FLAT,cell_gate,observed-label_auc,development,0.5167,6,0
relelev_neg,FLAT,cell_gate,observed-label_auc,holdout,0.4158,2,0
relelev_neg,FLAT,object,observed-label_auc,all,0.5904,10,0
relelev_neg,FLAT,object,observed-label_auc,development,0.587,6,0
relelev_neg,FLAT,object,observed-label_auc,holdout,0.6066,4,0
relelev_neg,UNIVERSE,cell_gate,capture_0.2,all,0.0,7,0
relelev_neg,UNIVERSE,cell_gate,capture_0.2,development,0.0,5,0
relelev_neg,UNIVERSE,cell_gate,capture_0.2,holdout,0.0729,2,0
relelev_neg,UNIVERSE,cell_gate,observed-label_auc,all,0.3564,7,0
relelev_neg,UNIVERSE,cell_gate,observed-label_auc,development,0.3825,5,0
relelev_neg,UNIVERSE,cell_gate,observed-label_auc,holdout,0.3297,2,0
relelev_neg,UNIVERSE,object,observed-label_auc,all,0.4237,10,0
relelev_neg,UNIVERSE,object,observed-label_auc,development,0.4219,6,0
relelev_neg,UNIVERSE,object,observed-label_auc,holdout,0.4428,4,0
relelev_neg,URBAN,cell_gate,capture_0.2,all,0.052,6,0
relelev_neg,URBAN,cell_gate,capture_0.2,development,0.0606,4,0
relelev_neg,URBAN,cell_gate,capture_0.2,holdout,0.0238,2,0
relelev_neg,URBAN,cell_gate,observed-label_auc,all,0.4238,6,1
relelev_neg,URBAN,cell_gate,observed-label_auc,development,0.4591,4,1
relelev_neg,URBAN,cell_gate,observed-label_auc,holdout,0.3807,2,0
relelev_neg,URBAN,object,observed-label_auc,all,0.5698,9,0
relelev_neg,URBAN,object,observed-label_auc,development,0.5698,5,0
relelev_neg,URBAN,object,observed-label_auc,holdout,0.5702,4,0
rf_F1_wf,AGRI,cell_gate,capture_0.2,all,0.2577,4,0
rf_F1_wf,AGRI,cell_gate,capture_0.2,development,0.2609,3,0
rf_F1_wf,AGRI,cell_gate,capture_0.2,holdout,0.2545,1,0
rf_F1_wf,AGRI,cell_gate,observed-label_auc,all,0.6635,4,0
rf_F1_wf,AGRI,cell_gate,observed-label_auc,development,0.6705,3,0
rf_F1_wf,AGRI,cell_gate,observed-label_auc,holdout,0.6565,1,0
rf_F1_wf,AGRI,object,observed-label_auc,all,0.6153,4,0
