no,block,dist,median,shape,beta,n_obj,n_events,counts,upsilon,mu0,tau,delta_star,object_auc_limit,top10_share_theory,neff_ratio_theory
12,A,lognormal,5000.0,1.0,-0.5,30,1,equal,0.0,0.95,0.5,-0.11399770164107315,0.7260243075020016,0.389143691645361,0.36787944117144233
13,A,lognormal,5000.0,1.0,-0.5,200,1,equal,0.0,0.95,0.5,-0.11399770164107315,0.7260243075020016,0.389143691645361,0.36787944117144233
14,A,lognormal,5000.0,1.0,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.389143691645361,0.36787944117144233
15,A,lognormal,5000.0,1.0,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.389143691645361,0.36787944117144233
16,A,lognormal,5000.0,1.0,0.5,30,1,equal,0.0,0.95,0.5,0.09442022905641356,0.7260243075020016,0.389143691645361,0.36787944117144233
17,A,lognormal,5000.0,1.0,0.5,200,1,equal,0.0,0.95,0.5,0.09442022905641356,0.7260243075020016,0.389143691645361,0.36787944117144233
18,A,lognormal,5000.0,1.0,1.0,30,1,equal,0.0,0.95,0.5,0.15940826199094882,0.700891117754484,0.389143691645361,0.36787944117144233
19,A,lognormal,5000.0,1.0,1.0,200,1,equal,0.0,0.95,0.5,0.15940826199094882,0.700891117754484,0.389143691645361,0.36787944117144233
20,A,lognormal,5000.0,1.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.3207404512418122,0.700891117754484,0.5864601343061464,0.10539922456186433
21,A,lognormal,5000.0,1.5,-1.0,200,1,equal,0.0,0.95,0.5,-0.3207404512418122,0.700891117754484,0.5864601343061464,0.10539922456186433
22,A,lognormal,5000.0,1.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
23,A,lognormal,5000.0,1.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
24,A,lognormal,5000.0,1.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
25,A,lognormal,5000.0,1.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
26,A,lognormal,5000.0,1.5,0.5,30,1,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
27,A,lognormal,5000.0,1.5,0.5,200,1,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
28,A,lognormal,5000.0,1.5,1.0,30,1,equal,0.0,0.95,0.5,0.21203804063799447,0.700891117754484,0.5864601343061464,0.10539922456186433
29,A,lognormal,5000.0,1.5,1.0,200,1,equal,0.0,0.95,0.5,0.21203804063799447,0.700891117754484,0.5864601343061464,0.10539922456186433
30,A,lognormal,5000.0,2.0,-1.0,30,1,equal,0.0,0.95,0.5,-0.42075433108202875,0.700891117754484,0.7637595841058832,0.01831563888873418
31,A,lognormal,5000.0,2.0,-1.0,200,1,equal,0.0,0.95,0.5,-0.42075433108202875,0.700891117754484,0.7637595841058832,0.01831563888873418
32,A,lognormal,5000.0,2.0,-0.5,30,1,equal,0.0,0.95,0.5,-0.23863786781702145,0.7260243075020016,0.7637595841058832,0.01831563888873418
33,A,lognormal,5000.0,2.0,-0.5,200,1,equal,0.0,0.95,0.5,-0.23863786781702145,0.7260243075020016,0.7637595841058832,0.01831563888873418
34,A,lognormal,5000.0,2.0,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.7637595841058832,0.01831563888873418
