scenario_no,replicate,v1_auc,v1_capture,v1_object_auc,max_event_share,evaluable,v2_auc,v2_capture,v2_object_auc,n_events_used,v1_pass,v2_pass,v2_evaluable,v1_v2_flip,v1_minus_v2_auc
0,120,0.6397344675402706,0.4642857142857143,0.7324673283329751,1.0,True,,,,,False,False,False,False,
0,121,0.6192608674065432,0.4406779661016949,0.665008115973111,1.0,True,,,,,False,False,False,False,
0,122,0.5831773233650815,0.43636363636363634,0.6822367404621825,1.0,True,,,,,False,False,False,False,
0,123,0.5523283663324274,0.3770491803278688,0.6485174078096887,1.0,True,,,,,False,False,False,False,
0,124,0.5750020706725352,0.4307692307692308,0.6249132472152836,1.0,True,,,,,False,False,False,False,
0,125,0.5642354520474477,0.4032258064516129,0.6826959748393265,1.0,True,,,,,False,False,False,False,
0,126,0.5696723904459541,0.4,0.6327392421528855,1.0,True,,,,,False,False,False,False,
0,127,0.589715122074763,0.39215686274509803,0.647905624102179,1.0,True,,,,,False,False,False,False,
0,128,0.5473686597005183,0.2641509433962264,0.647682887754706,1.0,True,,,,,False,False,False,False,
0,129,0.5854955202284692,0.3275862068965517,0.6754645908261906,1.0,True,,,,,False,False,False,False,
0,130,0.7027659151132468,0.49122807017543857,0.7415485887839708,1.0,True,,,,,False,False,False,False,
0,131,0.7073717014667075,0.4528301886792453,0.7137627773471045,1.0,True,,,,,False,False,False,False,
0,132,0.7703938638876187,0.6666666666666666,0.8023491838233549,1.0,True,,,,,True,False,False,False,
0,133,0.5241409401733855,0.25,0.5979372288765519,1.0,True,,,,,False,False,False,False,
0,134,0.5920054113716037,0.3389830508474576,0.67165800457116,1.0,True,,,,,False,False,False,False,
0,135,0.5309429972798957,0.2807017543859649,0.6049127435934611,1.0,True,,,,,False,False,False,False,
0,136,0.6555641783073816,0.5,0.7126418927060197,1.0,True,,,,,False,False,False,False,
0,137,0.6249917210385776,0.4032258064516129,0.6853842871932962,1.0,True,,,,,False,False,False,False,
0,138,0.5732279232246877,0.3584905660377358,0.6555251921153936,1.0,True,,,,,False,False,False,False,
0,139,0.6006959569407937,0.41818181818181815,0.7166785215225456,1.0,True,,,,,False,False,False,False,
0,140,0.8278817758646578,0.7142857142857143,0.84288675778175,1.0,True,,,,,True,False,False,False,
0,141,0.5600542652666463,0.35294117647058826,0.6735644306862306,1.0,True,,,,,False,False,False,False,
0,142,0.5857873226523286,0.3793103448275862,0.652101901686322,1.0,True,,,,,False,False,False,False,
0,143,0.6383307915674994,0.4423076923076923,0.727042837441022,1.0,True,,,,,False,False,False,False,
0,144,0.6137999383317951,0.3617021276595745,0.6862127183884164,1.0,True,,,,,False,False,False,False,
0,145,0.5652160308400921,0.25,0.6726880900612894,1.0,True,,,,,False,False,False,False,
0,146,0.6495937114802368,0.42857142857142855,0.7209714022045467,1.0,True,,,,,False,False,False,False,
0,147,0.6695248448759553,0.5,0.7358686018802438,1.0,True,,,,,False,False,False,False,
0,148,0.6196153299348052,0.41509433962264153,0.6676155123473316,1.0,True,,,,,False,False,False,False,
0,149,0.6128816020025032,0.38,0.6980360656073726,1.0,True,,,,,False,False,False,False,
0,150,0.6195127391071815,0.41818181818181815,0.6695105360926454,1.0,True,,,,,False,False,False,False,
0,151,0.6618834815250801,0.4745762711864407,0.7119230778329297,1.0,True,,,,,False,False,False,False,
0,152,0.7089642797529627,0.5166666666666667,0.7388142537076282,1.0,True,,,,,True,False,False,False,
0,153,0.7211249075140329,0.5555555555555556,0.7728033592148483,1.0,True,,,,,True,False,False,False,
0,154,0.7570721745962058,0.6730769230769231,0.7717196446170406,1.0,True,,,,,True,False,False,False,
0,155,0.6597190926843923,0.5172413793103449,0.7187550802564162,1.0,True,,,,,False,False,False,False,
0,156,0.691395745261483,0.47058823529411764,0.7523780420379711,1.0,True,,,,,False,False,False,False,
0,157,0.6773054971462902,0.4423076923076923,0.7240306391982372,1.0,True,,,,,False,False,False,False,
0,158,0.5154100969099232,0.3333333333333333,0.6194455203362906,1.0,True,,,,,False,False,False,False,
0,159,0.5552616402513764,0.42592592592592593,0.683173391831793,1.0,True,,,,,False,False,False,False,
0,160,0.5809109497579702,0.38333333333333336,0.6372669061417384,1.0,True,,,,,False,False,False,False,
0,161,0.6326369302261757,0.4074074074074074,0.6695637896881191,1.0,True,,,,,False,False,False,False,
0,162,0.6287896067097989,0.3888888888888889,0.7091739057775442,1.0,True,,,,,False,False,False,False,
0,163,0.5838375301057869,0.45098039215686275,0.6500069330958229,1.0,True,,,,,False,False,False,False,
0,164,0.6296667167342579,0.4444444444444444,0.6972328974473048,1.0,True,,,,,False,False,False,False,
0,165,0.6663037385366672,0.43548387096774194,0.7200898438174386,1.0,True,,,,,False,False,False,False,
0,166,0.6227255939546352,0.40816326530612246,0.6946384250877262,1.0,True,,,,,False,False,False,False,
0,167,0.675575287107806,0.5423728813559322,0.7125202936560036,1.0,True,,,,,False,False,False,False,
0,168,0.649819253049425,0.47540983606557374,0.7111681640598213,1.0,True,,,,,False,False,False,False,
0,169,0.5983786190137523,0.4117647058823529,0.6702509654037996,1.0,True,,,,,False,False,False,False,
0,170,0.49429947290665066,0.25,0.4975147393124375,1.0,True,,,,,False,False,False,False,
0,171,0.6885999912768016,0.5161290322580645,0.7607591062397077,1.0,True,,,,,False,False,False,False,
0,172,0.6345541545863134,0.5490196078431373,0.7245945515605868,1.0,True,,,,,False,False,False,False,
0,173,0.6854665873327634,0.5961538461538461,0.8004241685014021,1.0,True,,,,,False,False,False,False,
0,174,0.604929833916732,0.3584905660377358,0.661403883009335,1.0,True,,,,,False,False,False,False,
0,175,0.6443985310646618,0.49122807017543857,0.7249819441611741,1.0,True,,,,,False,False,False,False,
0,176,0.5918573216520651,0.38,0.68171495897377,1.0,True,,,,,False,False,False,False,
0,177,0.6416503166134548,0.40350877192982454,0.6545058214605066,1.0,True,,,,,False,False,False,False,
