rule,distance_bin,gap_bin,n,auc_unit_flip_rate,unit_flip_rate,grid_pass_rate,object_pass_rate
f01,"[-inf, -0.1)","[-0.2, -0.1)",66,0.0,0.0,0.0,0.0
f01,"[-inf, -0.1)","[-inf, -0.2)",72,0.0,0.0,0.0,0.0
f01,"[-inf, -0.1)","[0.0, 0.1)",30,0.0,0.0,0.0,0.0
f01,"[-inf, -0.1)","[0.1, 0.2)",46,0.9130434782608695,0.8695652173913043,0.8695652173913043,0.0
f01,"[-inf, -0.1)","[0.2, inf)",7,1.0,1.0,1.0,0.0
f01,"[0.0, 0.05)","[-0.1, 0.0)",2791,0.6040845575062701,0.5800788247939807,0.21461841633823003,0.779648871372268
f01,"[0.0, 0.05)","[-0.2, -0.1)",1059,1.0,0.7950897072710104,0.0,0.7950897072710104
f01,"[0.0, 0.05)","[-inf, -0.2)",446,1.0,0.8677130044843049,0.0,0.8677130044843049
f01,"[0.0, 0.05)","[0.0, 0.1)",3250,0.0,0.2113846153846154,0.936,0.7406153846153846
f01,"[0.0, 0.05)","[0.1, 0.2)",1236,0.0,0.3284789644012945,1.0,0.6715210355987055
f01,"[0.0, 0.05)","[0.2, inf)",212,0.0,0.4528301886792453,1.0,0.5471698113207547
f01,"[0.05, 0.1)","[-0.1, 0.0)",939,0.1554845580404686,0.28753993610223644,0.6975505857294995,0.9808306709265175
f01,"[0.05, 0.1)","[-0.2, -0.1)",320,1.0,0.99375,0.0,0.99375
f01,"[0.05, 0.1)","[-inf, -0.2)",110,1.0,0.9818181818181818,0.0,0.9818181818181818
f01,"[0.05, 0.1)","[0.0, 0.1)",1248,0.0,0.029647435897435896,0.9967948717948718,0.9703525641025641
f01,"[0.05, 0.1)","[0.1, 0.2)",605,0.0,0.09917355371900827,1.0,0.9008264462809917
f01,"[0.05, 0.1)","[0.2, inf)",20,0.0,0.2,1.0,0.8
f01,"[0.1, inf)","[-0.1, 0.0)",331,0.0,0.03625377643504532,0.9637462235649547,1.0
f01,"[0.1, inf)","[-0.2, -0.1)",99,0.7373737373737373,0.8080808080808081,0.1919191919191919,1.0
f01,"[0.1, inf)","[-inf, -0.2)",16,1.0,1.0,0.0,1.0
f01,"[0.1, inf)","[0.0, 0.1)",501,0.0,0.0,1.0,1.0
f01,"[0.1, inf)","[0.1, 0.2)",59,0.0,0.0,1.0,1.0
f10,"[-0.05, 0.0)","[-0.1, 0.0)",646,0.0,0.0,0.0,0.0
f10,"[-0.05, 0.0)","[-0.2, -0.1)",894,0.0,0.0,0.0,0.0
f10,"[-0.05, 0.0)","[-inf, -0.2)",892,0.0,0.0,0.0,0.0
f10,"[-0.05, 0.0)","[0.0, 0.1)",698,0.8065902578796562,0.6876790830945558,0.6876790830945558,0.0
f10,"[-0.05, 0.0)","[0.1, 0.2)",691,1.0,1.0,1.0,0.0
f10,"[-0.05, 0.0)","[0.2, inf)",260,1.0,1.0,1.0,0.0
f10,"[-0.1, -0.05)","[-0.1, 0.0)",203,0.0,0.0,0.0,0.0
f10,"[-0.1, -0.05)","[-0.2, -0.1)",286,0.0,0.0,0.0,0.0
f10,"[-0.1, -0.05)","[-inf, -0.2)",367,0.0,0.0,0.0,0.0
f10,"[-0.1, -0.05)","[0.0, 0.1)",198,0.30303030303030304,0.22727272727272727,0.22727272727272727,0.0
f10,"[-0.1, -0.05)","[0.1, 0.2)",293,1.0,0.9829351535836177,0.9829351535836177,0.0
f10,"[-0.1, -0.05)","[0.2, inf)",166,1.0,1.0,1.0,0.0
f10,"[-inf, -0.1)","[-0.1, 0.0)",29,0.0,0.0,0.0,0.0
f10,"[-inf, -0.1)","[-0.2, -0.1)",61,0.0,0.0,0.0,0.0
f10,"[-inf, -0.1)","[-inf, -0.2)",116,0.0,0.0,0.0,0.0
f10,"[-inf, -0.1)","[0.0, 0.1)",32,0.0,0.0,0.0,0.0
f10,"[-inf, -0.1)","[0.1, 0.2)",46,0.717391304347826,0.6086956521739131,0.6086956521739131,0.0
f10,"[-inf, -0.1)","[0.2, inf)",34,1.0,1.0,1.0,0.0
f10,"[0.0, 0.05)","[-0.1, 0.0)",2957,0.5441325667906662,0.5448089279675347,0.24315184308420695,0.7649644910382144
f10,"[0.0, 0.05)","[-0.2, -0.1)",2165,1.0,0.8069284064665126,0.0,0.8069284064665126
f10,"[0.0, 0.05)","[-inf, -0.2)",729,1.0,0.8518518518518519,0.0,0.8518518518518519
f10,"[0.0, 0.05)","[0.0, 0.1)",3537,0.0,0.22307039864291772,0.9389312977099237,0.7339553293751767
f10,"[0.0, 0.05)","[0.1, 0.2)",2123,0.0,0.28685821950070656,1.0,0.7131417804992934
f10,"[0.0, 0.05)","[0.2, inf)",391,0.0,0.34271099744245526,1.0,0.6572890025575447
f10,"[0.05, 0.1)","[-0.1, 0.0)",1114,0.1615798922800718,0.30430879712746856,0.6840215439856373,0.9829443447037702
f10,"[0.05, 0.1)","[-0.2, -0.1)",455,1.0,0.9934065934065934,0.0,0.9934065934065934
f10,"[0.05, 0.1)","[-inf, -0.2)",237,1.0,0.9915611814345991,0.0,0.9915611814345991
f10,"[0.05, 0.1)","[0.0, 0.1)",1333,0.0,0.024006001500375095,0.9969992498124531,0.9759939984996249
f10,"[0.05, 0.1)","[0.1, 0.2)",839,0.0,0.06793802145411204,1.0,0.932061978545888
f10,"[0.05, 0.1)","[0.2, inf)",46,0.0,0.2391304347826087,1.0,0.7608695652173914
f10,"[0.1, inf)","[-0.1, 0.0)",320,0.0,0.046875,0.953125,1.0
f10,"[0.1, inf)","[-0.2, -0.1)",177,0.655367231638418,0.807909604519774,0.192090395480226,1.0
f10,"[0.1, inf)","[-inf, -0.2)",43,1.0,1.0,0.0,1.0
f10,"[0.1, inf)","[0.0, 0.1)",484,0.0,0.0,1.0,1.0
f10,"[0.1, inf)","[0.1, 0.2)",138,0.0,0.0,1.0,1.0
f25,"[-0.05, 0.0)","[-0.1, 0.0)",325,0.0,0.0,0.0,0.0
f25,"[-0.05, 0.0)","[-0.2, -0.1)",588,0.0,0.0,0.0,0.0
f25,"[-0.05, 0.0)","[-inf, -0.2)",1130,0.0,0.0,0.0,0.0
f25,"[-0.05, 0.0)","[0.0, 0.1)",336,0.7886904761904762,0.6130952380952381,0.6130952380952381,0.0
f25,"[-0.05, 0.0)","[0.1, 0.2)",571,1.0,1.0,1.0,0.0
f25,"[-0.05, 0.0)","[0.2, inf)",439,1.0,1.0,1.0,0.0
f25,"[-0.1, -0.05)","[-0.1, 0.0)",120,0.0,0.0,0.0,0.0
f25,"[-0.1, -0.05)","[-0.2, -0.1)",178,0.0,0.0,0.0,0.0
f25,"[-0.1, -0.05)","[-inf, -0.2)",450,0.0,0.0,0.0,0.0
f25,"[-0.1, -0.05)","[0.0, 0.1)",107,0.35514018691588783,0.21495327102803738,0.21495327102803738,0.0
f25,"[-0.1, -0.05)","[0.1, 0.2)",185,1.0,0.9837837837837838,0.9837837837837838,0.0
f25,"[-0.1, -0.05)","[0.2, inf)",279,1.0,1.0,1.0,0.0
f25,"[-inf, -0.1)","[-0.1, 0.0)",10,0.0,0.0,0.0,0.0
f25,"[-inf, -0.1)","[-0.2, -0.1)",28,0.0,0.0,0.0,0.0
f25,"[-inf, -0.1)","[-inf, -0.2)",129,0.0,0.0,0.0,0.0
f25,"[-inf, -0.1)","[0.0, 0.1)",9,0.0,0.0,0.0,0.0
f25,"[-inf, -0.1)","[0.1, 0.2)",22,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.0
f25,"[-inf, -0.1)","[0.2, inf)",52,1.0,1.0,1.0,0.0
f25,"[0.0, 0.05)","[-0.1, 0.0)",1748,0.5812356979405034,0.5635011441647597,0.19164759725400457,0.7299771167048055
f25,"[0.0, 0.05)","[-0.2, -0.1)",1507,1.0,0.8015925680159257,0.0,0.8015925680159257
f25,"[0.0, 0.05)","[-inf, -0.2)",1112,1.0,0.8579136690647482,0.0,0.8579136690647482
f25,"[0.0, 0.05)","[0.0, 0.1)",2073,0.0,0.2522913651712494,0.9300530631934395,0.7076700434153401
f25,"[0.0, 0.05)","[0.1, 0.2)",1928,0.0,0.27022821576763484,1.0,0.7297717842323651
f25,"[0.0, 0.05)","[0.2, inf)",626,0.0,0.28753993610223644,1.0,0.7124600638977636
f25,"[0.05, 0.1)","[-0.1, 0.0)",729,0.2112482853223594,0.3991769547325103,0.5816186556927297,0.9725651577503429
f25,"[0.05, 0.1)","[-0.2, -0.1)",316,1.0,0.9873417721518988,0.0,0.9873417721518988
f25,"[0.05, 0.1)","[-inf, -0.2)",347,1.0,0.9942363112391931,0.0,0.9942363112391931
f25,"[0.05, 0.1)","[0.0, 0.1)",858,0.0,0.037296037296037296,0.9953379953379954,0.9673659673659674
f25,"[0.05, 0.1)","[0.1, 0.2)",917,0.0,0.062159214830970554,1.0,0.9378407851690295
f25,"[0.05, 0.1)","[0.2, inf)",75,0.0,0.16,1.0,0.84
f25,"[0.1, inf)","[-0.1, 0.0)",204,0.0,0.049019607843137254,0.9509803921568627,1.0
f25,"[0.1, inf)","[-0.2, -0.1)",160,0.79375,0.9375,0.0625,1.0
f25,"[0.1, inf)","[-inf, -0.2)",86,1.0,1.0,0.0,1.0
f25,"[0.1, inf)","[0.0, 0.1)",346,0.0,0.0,1.0,1.0
f25,"[0.1, inf)","[0.1, 0.2)",210,0.0,0.0,1.0,1.0
f50,"[-0.05, 0.0)","[-0.1, 0.0)",197,0.0,0.0,0.0,0.0
f50,"[-0.05, 0.0)","[-0.2, -0.1)",361,0.0,0.0,0.0,0.0
f50,"[-0.05, 0.0)","[-inf, -0.2)",1438,0.0,0.0,0.0,0.0
f50,"[-0.05, 0.0)","[0.0, 0.1)",207,0.782608695652174,0.5217391304347826,0.5217391304347826,0.0
f50,"[-0.05, 0.0)","[0.1, 0.2)",341,1.0,0.9970674486803519,0.9970674486803519,0.0
f50,"[-0.05, 0.0)","[0.2, inf)",753,1.0,1.0,1.0,0.0
f50,"[-0.1, -0.05)","[-0.1, 0.0)",90,0.0,0.0,0.0,0.0
f50,"[-0.1, -0.05)","[-0.2, -0.1)",110,0.0,0.0,0.0,0.0
f50,"[-0.1, -0.05)","[-inf, -0.2)",532,0.0,0.0,0.0,0.0
f50,"[-0.1, -0.05)","[0.0, 0.1)",81,0.2839506172839506,0.09876543209876543,0.09876543209876543,0.0
f50,"[-0.1, -0.05)","[0.1, 0.2)",131,1.0,0.9541984732824428,0.9541984732824428,0.0
f50,"[-0.1, -0.05)","[0.2, inf)",343,1.0,1.0,1.0,0.0
f50,"[-inf, -0.1)","[-0.1, 0.0)",4,0.0,0.0,0.0,0.0
f50,"[-inf, -0.1)","[-0.2, -0.1)",17,0.0,0.0,0.0,0.0
f50,"[-inf, -0.1)","[-inf, -0.2)",144,0.0,0.0,0.0,0.0
f50,"[-inf, -0.1)","[0.0, 0.1)",7,0.0,0.0,0.0,0.0
f50,"[-inf, -0.1)","[0.1, 0.2)",5,1.0,1.0,1.0,0.0
f50,"[-inf, -0.1)","[0.2, inf)",60,1.0,1.0,1.0,0.0
f50,"[0.0, 0.05)","[-0.1, 0.0)",1231,0.5694557270511779,0.554021121039805,0.1933387489845654,0.6921202274573518
f50,"[0.0, 0.05)","[-0.2, -0.1)",1151,1.0,0.7567332754126846,0.0,0.7567332754126846
f50,"[0.0, 0.05)","[-inf, -0.2)",1877,1.0,0.8641449120937666,0.0,0.8641449120937666
f50,"[0.0, 0.05)","[0.0, 0.1)",1310,0.0,0.29923664122137406,0.9,0.6694656488549618
f50,"[0.0, 0.05)","[0.1, 0.2)",2095,0.0,0.2821002386634845,0.9990453460620525,0.716945107398568
f50,"[0.0, 0.05)","[0.2, inf)",1149,0.0,0.23063533507397738,1.0,0.7693646649260226
f50,"[0.05, 0.1)","[-0.1, 0.0)",548,0.19708029197080293,0.40875912408759124,0.572992700729927,0.9671532846715328
f50,"[0.05, 0.1)","[-0.2, -0.1)",265,1.0,0.9924528301886792,0.0,0.9924528301886792
f50,"[0.05, 0.1)","[-inf, -0.2)",508,1.0,0.9940944881889764,0.0,0.9940944881889764
f50,"[0.05, 0.1)","[0.0, 0.1)",620,0.0,0.056451612903225805,0.9822580645161291,0.9612903225806452
f50,"[0.05, 0.1)","[0.1, 0.2)",1018,0.0,0.05697445972495088,1.0,0.9430255402750491
f50,"[0.05, 0.1)","[0.2, inf)",167,0.0,0.07784431137724551,1.0,0.9221556886227545
f50,"[0.1, inf)","[-0.1, 0.0)",171,0.0,0.08771929824561403,0.9122807017543859,1.0
f50,"[0.1, inf)","[-0.2, -0.1)",136,0.8308823529411765,0.9117647058823529,0.08823529411764706,1.0
f50,"[0.1, inf)","[-inf, -0.2)",134,1.0,1.0,0.0,1.0
f50,"[0.1, inf)","[0.0, 0.1)",246,0.0,0.0,1.0,1.0
f50,"[0.1, inf)","[0.1, 0.2)",288,0.0,0.0,1.0,1.0
rep_point,"[-0.05, 0.0)","[-0.1, 0.0)",2092,0.0,0.0,0.0,0.0
rep_point,"[-0.05, 0.0)","[0.0, 0.1)",1297,0.12259059367771781,0.09097918272937548,0.09097918272937548,0.0
rep_point,"[-0.1, -0.05)","[-0.1, 0.0)",811,0.0,0.0,0.0,0.0
rep_point,"[-0.1, -0.05)","[0.0, 0.1)",508,0.0,0.0,0.0,0.0
rep_point,"[-inf, -0.1)","[-0.1, 0.0)",131,0.0,0.0,0.0,0.0
rep_point,"[-inf, -0.1)","[0.0, 0.1)",119,0.0,0.0,0.0,0.0
rep_point,"[0.0, 0.05)","[-0.1, 0.0)",7199,0.1344631198777608,0.1015418808167801,0.6989859702736492,0.7421864147798305
rep_point,"[0.0, 0.05)","[0.0, 0.1)",1795,0.0,0.08579387186629527,0.8584958217270195,0.7883008356545961
rep_point,"[0.05, 0.1)","[-0.1, 0.0)",2488,0.012861736334405145,0.024115755627009645,0.9465434083601286,0.9561897106109325
rep_point,"[0.05, 0.1)","[0.0, 0.1)",754,0.0,0.007957559681697613,0.986737400530504,0.9814323607427056
rep_point,"[0.1, inf)","[-0.1, 0.0)",833,0.0,0.0,1.0,1.0
rep_point,"[0.1, inf)","[0.0, 0.1)",173,0.0,0.0,1.0,1.0
soft,"[-0.05, 0.0)","[-0.1, 0.0)",354,0.0,0.0,0.0,0.0
soft,"[-0.05, 0.0)","[-0.2, -0.1)",568,0.0,0.0,0.0,0.0
soft,"[-0.05, 0.0)","[-inf, -0.2)",1114,0.0,0.0,0.0,0.0
soft,"[-0.05, 0.0)","[0.0, 0.1)",443,0.8329571106094809,0.6839729119638827,0.6839729119638827,0.0
soft,"[-0.05, 0.0)","[0.1, 0.2)",511,1.0,1.0,1.0,0.0
soft,"[-0.05, 0.0)","[0.2, inf)",399,1.0,1.0,1.0,0.0
soft,"[-0.1, -0.05)","[-0.1, 0.0)",124,0.0,0.0,0.0,0.0
soft,"[-0.1, -0.05)","[-0.2, -0.1)",170,0.0,0.0,0.0,0.0
soft,"[-0.1, -0.05)","[-inf, -0.2)",454,0.0,0.0,0.0,0.0
soft,"[-0.1, -0.05)","[0.0, 0.1)",120,0.35833333333333334,0.25833333333333336,0.25833333333333336,0.0
soft,"[-0.1, -0.05)","[0.1, 0.2)",193,1.0,0.9896373056994818,0.9896373056994818,0.0
soft,"[-0.1, -0.05)","[0.2, inf)",258,1.0,1.0,1.0,0.0
soft,"[-inf, -0.1)","[-0.1, 0.0)",12,0.0,0.0,0.0,0.0
