block,dist,median,shape,beta,n_obj,n_events,counts,upsilon,mu0,tau,delta_star,object_auc_limit,top10_share_theory,neff_ratio_theory,scenario_no,rule,n_replicates,n_evaluable,gap_median,gap_median_lo,gap_median_hi,gap_mean,gap_sd,p10,p_pos10,p_neg10,class,cell_auc_median,object_auc_median,capture_median,object_capture_median,term_size_weight_median,term_within_object_median,term_erasure_median,n_eff_median,n_survive_median,n_K_median,top10_share_median,max_event_share_median,sd_A_median,rho_wA_median,concentration_factor_median,n_pos_cells_median,n_polygons_median,erased_frac_median,erasure_median_lo,erasure_median_hi,grid_pass_rate,object_pass_rate,unit_flip_rate,auc_unit_flip_rate,rule_flip_rate,B_n,B_max_event_share_median,B_v1_auc_median,B_v2_auc_median,B_v1_minus_v2_auc_median,B_p_abs_v1_v2_ge_01,B_v1_pass_rate,B_v2_pass_rate,B_v1_v2_flip_rate,B_n_events_used_median
A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,2,center,200,200,-0.04952917218385111,-0.059152819113370114,-0.04227840189578658,-0.05344855866904754,0.04979363268134163,0.165,0.0,0.165,가끔,0.6847612224975902,0.7367388829054278,0.4641025641025641,0.5482641182679016,-0.00019224286868074758,-0.0011522815175630807,-0.04192796680360539,15.0,16.0,30.0,0.25,1.0,0.2842110146966676,-0.050961400911416516,0.2439029573418147,17.0,30.0,0.4666666666666667,-0.05324353375037538,-0.035793285289101306,0.29,0.65,0.41,0.405,0.325,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,2,f01,200,200,-0.0259400454826596,-0.028978468191362627,-0.02257371861145052,-0.02504141539682064,0.020493481760518767,0.0,0.0,0.0,없음,0.7142917388154052,0.7367388829054278,0.505688429217841,0.5482641182679016,-0.025129959813554148,-0.0008223656797430312,0.0,26.284008701590515,30.0,30.0,0.16279069767441862,1.0,0.2639443225974847,-0.2494487679676285,0.376003148444095,88.0,30.0,0.0,0.0,0.0,0.495,0.65,0.215,0.19,0.13,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,2,f10,200,200,-0.030502135100520467,-0.034006277634782256,-0.027462595659806133,-0.03154917096524164,0.02413486015096222,0.005,0.0,0.005,없음,0.7053459414877157,0.7367388829054278,0.4916643512086691,0.5482641182679016,-0.030140449446641293,0.00012475949984208645,0.0,24.713349975573337,30.0,30.0,0.18808962264150944,1.0,0.2665455752712708,-0.24695841220531184,0.44721359549995787,54.0,30.0,0.0,0.0,0.0,0.425,0.65,0.265,0.23,0.0,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,2,f25,200,200,-0.05850487405859761,-0.06859896861676218,-0.049161060543195356,-0.06040516824751435,0.04269429436334961,0.165,0.0,0.165,가끔,0.6717126992711736,0.7367388829054278,0.44913793103448274,0.5482641182679016,-0.01598829047468736,-0.00041684272543329737,-0.04046487135095267,18.677777777777777,21.0,30.0,0.2413793103448276,1.0,0.2795909628275137,-0.1596119443752271,0.3528540089729337,26.0,30.0,0.30000000000000004,-0.04700144636784631,-0.03532839208003291,0.26,0.65,0.41,0.42,0.195,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,2,f50,200,129,-0.1485342069186687,-0.16549734829551738,-0.12919903509576847,-0.14294748465404797,0.10833588079480869,0.6821705426356589,0.007751937984496124,0.6744186046511628,벌어짐,0.5901375343835958,0.7349762554458809,0.3333333333333333,0.5337120810501872,0.0,-0.001954566651051759,-0.1429991649533222,5.999999999999999,6.0,30.0,0.5,1.0,0.26956957367660456,-3.842359606022392e-16,1.4901161193847656e-08,6.0,30.0,0.8,-0.16771964250203308,-0.12224940723857969,0.15503875968992248,0.6356589147286822,0.5736434108527132,0.6201550387596899,0.40310077519379844,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,2,rep_point,200,200,3.006183819470598e-05,-0.0008000547492309495,0.0008424785747195296,0.00034419627735729095,0.006150206547620951,0.0,0.0,0.0,없음,0.7383512634475857,0.7367388829054278,0.5333333333333333,0.5482641182679016,0.0,-0.00013804631309050075,0.0,30.0,30.0,30.0,0.1,1.0,0.26977315772482713,-0.0035129230446321754,0.0,30.0,30.0,0.0,0.0,0.0,0.705,0.65,0.055,0.02,0.31,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,2,soft,200,200,-0.04982098759714404,-0.0537040871300376,-0.04314195020329148,-0.050152817703582556,0.028080294623152473,0.035,0.0,0.035,없음,0.6869854314810543,0.7367388829054278,0.46373836729253315,0.5482641182679016,-0.049474170874004186,-0.0004540593602855858,0.0,23.98488422845162,30.0,30.0,0.20636608611485568,1.0,0.26638139230378793,-0.3817538654050874,0.5007871549720737,101.0,30.0,0.0,0.0,0.0,0.275,0.65,0.375,0.375,0.17,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,any,200,200,-0.02334193127592682,-0.025016403657324382,-0.02254746388074813,-0.023658779995095205,0.007622259157325048,0.0,0.0,0.0,없음,0.7036554743477321,0.7254299639172844,0.4985161114193372,0.5311637297372629,-0.023556279713697448,0.00032009375558611497,0.0,176.60697044345784,200.0,200.0,0.16547780163422304,1.0,0.2705019495527745,-0.24231487928387999,0.3639479705085681,669.5,200.0,0.0,0.0,0.0,0.445,0.81,0.365,0.34,0.245,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,center,200,200,-0.0584875383045908,-0.06290621625203374,-0.0551980823609739,-0.05822553659937897,0.023975981893453267,0.04,0.0,0.04,없음,0.6709081696864139,0.7254299639172844,0.4541958041958042,0.5311637297372629,-0.011745440396220386,-0.00363823791423018,-0.04166533577267123,97.50401478075739,105.5,200.0,0.2576890890092002,1.0,0.28972537490132344,-0.14709194212497975,0.2788239857707906,114.0,200.0,0.4725,-0.04613857757597417,-0.0385026041828499,0.105,0.81,0.715,0.755,0.185,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,f01,200,200,-0.02560018387408103,-0.02736500388647889,-0.024319962983631704,-0.026069052635276365,0.0080644424662082,0.0,0.0,0.0,없음,0.6997982388729285,0.7254299639172844,0.49699769390197623,0.5311637297372629,-0.02532557405332958,-0.00031727908737927413,0.0,174.12833101768345,200.0,200.0,0.1640654037863357,1.0,0.271489249323837,-0.2439694164834653,0.3854583864294543,585.0,200.0,0.0,0.0,0.0,0.405,0.81,0.405,0.41,0.215,,,,,,,,,,
