prior,config,held_event,n_test,n_positive,grid_auc,cluster_auc,observed_label_ap,top20_capture
"2006,2012,2014,2016","random_forest|F0|max_depth=4,min_samples_leaf=400",2014,74933,132,0.8512847016710602,0.823301894935385,0.0073864860020612716,0.6363636363636364
"2006,2012,2014,2016","random_forest|F0|max_depth=4,min_samples_leaf=400",2016,74971,170,0.9096707577832004,0.9100318947283558,0.015772768067548563,0.8764705882352941
"2006,2012,2014,2016",xgboost|F0|max_depth=1,2006,74908,107,0.8615460311078355,0.8690418659434944,0.006004541205237959,0.6822429906542056
"2006,2012,2014,2016",xgboost|F0|max_depth=1,2012,75007,206,0.8764713960134741,0.7134652491059973,0.015515984973955798,0.8009708737864077
"2006,2012,2014,2016",xgboost|F0|max_depth=1,2014,74933,132,0.8226978411000014,0.792352227132949,0.007441194939103923,0.6136363636363636
"2006,2012,2014,2016",xgboost|F0|max_depth=1,2016,74971,170,0.9075079996571295,0.9029183469308428,0.028194942253678613,0.8529411764705882
"2006,2012,2014,2016",xgboost|F0|max_depth=3,2006,74908,107,0.8446142518710392,0.8490791840083789,0.005392791407171236,0.6261682242990654
"2006,2012,2014,2016",xgboost|F0|max_depth=3,2012,75007,206,0.8799446245916187,0.7832128524023695,0.013319048011014674,0.8446601941747572
"2006,2012,2014,2016",xgboost|F0|max_depth=3,2014,74933,132,0.850825402188352,0.8058412227238485,0.00838526742389692,0.6742424242424242
"2006,2012,2014,2016",xgboost|F0|max_depth=3,2016,74971,170,0.908159925512163,0.9076367631960625,0.018348197608599303,0.8588235294117647
"2006,2012,2014,2016",ridge|F1|C=0.1,2006,74908,107,0.8328345852740486,0.8199015694505015,0.003924711760301075,0.7009345794392523
"2006,2012,2014,2016",ridge|F1|C=0.1,2012,75007,206,0.8427561128861913,0.7170810070559174,0.008827863364892075,0.7281553398058253
"2006,2012,2014,2016",ridge|F1|C=0.1,2014,74933,132,0.8370259593839492,0.7999341712575252,0.006060396275175644,0.6818181818181818
"2006,2012,2014,2016",ridge|F1|C=0.1,2016,74971,170,0.8471167812320849,0.8518416560019949,0.00847995273963748,0.7588235294117647
"2006,2012,2014,2016",ridge|F1|C=1.0,2006,74908,107,0.8349992072423441,0.8224403835996922,0.0039749817407425565,0.719626168224299
"2006,2012,2014,2016",ridge|F1|C=1.0,2012,75007,206,0.8432580920534394,0.7164841134369127,0.008805712390363516,0.7281553398058253
"2006,2012,2014,2016",ridge|F1|C=1.0,2014,74933,132,0.8350780636946598,0.7902692215146411,0.006033758584176812,0.6818181818181818
"2006,2012,2014,2016",ridge|F1|C=1.0,2016,74971,170,0.8438952137318076,0.8482150389249178,0.008077563983372327,0.7529411764705882
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=5,alpha=1.0",2006,74908,107,0.8602958604056846,0.8632006119010996,0.006502692263055418,0.7757009345794392
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=5,alpha=1.0",2012,75007,206,0.8747744663088586,0.736214191215805,0.015513963561760139,0.8252427184466019
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=5,alpha=1.0",2014,74933,132,0.8237275429391845,0.7530139669791349,0.006292061815025961,0.6666666666666666
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=5,alpha=1.0",2016,74971,170,0.9127374044228727,0.8987244729746936,0.04974757116476332,0.8529411764705882
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=10,alpha=1.0",2006,74908,107,0.8429316565436491,0.8380005475254761,0.004461179377312583,0.7289719626168224
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=10,alpha=1.0",2012,75007,206,0.879754216462762,0.755975518102599,0.014698283170909016,0.8203883495145631
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=10,alpha=1.0",2014,74933,132,0.8196585647655822,0.7659319641391402,0.005494567783378583,0.6212121212121212
"2006,2012,2014,2016","frequency_ratio|F1|n_bins=10,alpha=1.0",2016,74971,170,0.9369122935600893,0.9250758158443951,0.08909490640018249,0.9
"2006,2012,2014,2016","random_forest|F1|max_depth=2,min_samples_leaf=200",2006,74908,107,0.8379665822349569,0.8339885649688306,0.004575915281800551,0.7757009345794392
"2006,2012,2014,2016","random_forest|F1|max_depth=2,min_samples_leaf=200",2012,75007,206,0.863147759174083,0.750221511586933,0.013211892882953054,0.7572815533980582
"2006,2012,2014,2016","random_forest|F1|max_depth=2,min_samples_leaf=200",2014,74933,132,0.8339336129439204,0.8099921756007588,0.006373044455832088,0.6363636363636364
"2006,2012,2014,2016","random_forest|F1|max_depth=2,min_samples_leaf=200",2016,74971,170,0.9110908394587365,0.9107928069374681,0.017610239896920902,0.8588235294117647
"2006,2012,2014,2016","random_forest|F1|max_depth=4,min_samples_leaf=400",2006,74908,107,0.8331013366681214,0.835246355968651,0.004152076446268707,0.7289719626168224
"2006,2012,2014,2016","random_forest|F1|max_depth=4,min_samples_leaf=400",2012,75007,206,0.871127378365613,0.7553126986354357,0.014204079389866474,0.7815533980582524
"2006,2012,2014,2016","random_forest|F1|max_depth=4,min_samples_leaf=400",2014,74933,132,0.8461727541318723,0.8202245197639801,0.007119688502255543,0.6515151515151515
"2006,2012,2014,2016","random_forest|F1|max_depth=4,min_samples_leaf=400",2016,74971,170,0.9116739552868512,0.9116293250263615,0.017393541155572168,0.8588235294117647
"2006,2012,2014,2016",xgboost|F1|max_depth=1,2006,74908,107,0.8502237775570745,0.8523104098573805,0.005070264821976384,0.7663551401869159
"2006,2012,2014,2016",xgboost|F1|max_depth=1,2012,75007,206,0.8737235224647197,0.7323366884010998,0.016064470984137352,0.7961165048543689
"2006,2012,2014,2016",xgboost|F1|max_depth=1,2014,74933,132,0.8305585972963414,0.7932434186689211,0.007434548061349917,0.6287878787878788
"2006,2012,2014,2016",xgboost|F1|max_depth=1,2016,74971,170,0.9075079996571295,0.9029183469308428,0.028194942253678613,0.8529411764705882
"2006,2012,2014,2016",xgboost|F1|max_depth=3,2006,74908,107,0.8484680910982874,0.8465309521417104,0.005170709420048736,0.6635514018691588
"2006,2012,2014,2016",xgboost|F1|max_depth=3,2012,75007,206,0.8608443659506654,0.7489513313048818,0.011946337190900552,0.7572815533980582
"2006,2012,2014,2016",xgboost|F1|max_depth=3,2014,74933,132,0.8525683095307834,0.8050678128644979,0.008487284205062439,0.6666666666666666
"2006,2012,2014,2016",xgboost|F1|max_depth=3,2016,74971,170,0.9049002175969652,0.9051237886633176,0.017440643588670996,0.8529411764705882
"2006,2012,2014,2016",ridge|F2|C=0.1,2006,74908,107,0.7622154334235374,0.7906146325659867,0.0027426046995203185,0.3364485981308411
