score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,nested_status,run_id
slope_neg,cell_gate,URBAN,ALL,observed-label_auc,0.7760470390072977,0.4348,0.8572,108,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,URBAN,ALL,observed-label_auc,0.5356,0.3171,0.7175,11,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,URBAN,ALL,capture_0.2,0.7037,,,108,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,URBAN,ALL,capture_0.2,0.401778190690566,,,19,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,URBAN,ALL,observed-label_auc,0.5955982059038281,0.3741,0.6899,108,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,URBAN,ALL,observed-label_auc,0.4977,0.3137,0.668,11,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,URBAN,ALL,capture_0.2,0.3889,,,108,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,URBAN,ALL,capture_0.2,0.2753364670901899,,,19,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,URBAN,ALL,observed-label_auc,0.5254148913022568,0.36245434240455116,0.6733274659221778,19,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,URBAN,ALL,observed-label_auc,0.45386645603372217,0.3222684513257402,0.579031872365534,19,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,AGRI,ALL,observed-label_auc,0.5118926200327143,0.2816,0.6408,40,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,AGRI,ALL,observed-label_auc,0.531,0.3602,0.6796,8,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,AGRI,ALL,capture_0.2,0.075,,,40,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,AGRI,ALL,capture_0.2,0.09563771439442127,,,12,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,AGRI,ALL,observed-label_auc,0.5030573462907726,0.2244,0.626,40,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,AGRI,ALL,observed-label_auc,0.5169,0.3573,0.6568,8,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,AGRI,ALL,capture_0.2,0.125,,,40,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,AGRI,ALL,capture_0.2,0.10655641050907831,,,12,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
