test_event,role,rule,size_m,score,cell_auc,cell_auc_sklearn,identity_abs_diff,auc_from_objects,object_auc,mean_A_survivors,mean_At_survivors,term_size_weight,term_within_object,term_erasure,n_eff,n_objects,n_survive,n_survive_no_At,orphan_weight,n_orphan_cells
HOLDOUT_ALL,holdout_pooled,f01,500,hand_neg,0.8887929942681118,0.8887929942681119,2.220446049250313e-16,0.888792994268112,0.8281873865834221,0.8383798225136438,0.8648942683951275,0.050413171754468133,-0.02651444588148366,0.03670688181170545,51.5481695774633,196,131,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f01,500,hand_acc_neg,0.8789051807607927,0.8789051807607927,1.1102230246251565e-16,0.8789051807607926,0.8253427317645577,0.8322090837645698,0.8590158945826615,0.04669609699622279,-0.026806810818091664,0.03367316281810373,51.5481695774633,196,131,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f01,500,L1,0.4785861070143113,0.4785861070143113,1.1102230246251565e-16,0.4785861070143114,0.6878637966115688,0.5917524618202974,0.6106623760378586,-0.11316635480598597,-0.018909914217561163,-0.07720142057371027,51.5481695774633,196,131,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f01,500,z_sensitivity,0.7448390536460611,0.7448390536460611,1.1102230246251565e-16,0.744839053646061,0.8110039940215127,0.7561729413869861,0.787156983668513,-0.011333887740925142,-0.030984042281526958,-0.02384701035299963,51.5481695774633,196,131,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f01,500,rf_F1_wf,0.8129680395144849,0.8129680395144849,0.0,0.8129680395144849,0.8355765642251225,0.803316755599568,0.8339009169948722,0.009651283914916875,-0.030584161395304177,-0.0016756472302502656,51.5481695774633,196,131,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f01,500,logit_F1_wf,0.8118751812919014,0.8118751812919015,1.1102230246251565e-16,0.8118751812919013,0.8372539874453677,0.8046892714777159,0.837865153878116,0.007185909814185432,-0.03317588240040015,0.000611166432748278,51.5481695774633,196,131,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,slope_neg,0.9195932689405373,0.9195932689405372,3.3306690738754696e-16,0.9195932689405376,0.8067082091179186,0.842327310138585,0.850826169669509,0.07726595880195264,-0.008498859530923997,0.04411796055159034,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,relelev_neg,0.49604965288258374,0.4960496528825838,5.551115123125783e-17,0.49604965288258374,0.6385405063945998,0.6447638304919173,0.639659927838464,-0.1487141776093336,0.005103902653453285,0.0011194214438642325,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,twi,0.9323309689103532,0.9323309689103532,0.0,0.9323309689103532,0.8369153947885001,0.8885124330928347,0.8923064515078633,0.04381853581751849,-0.003794018415028577,0.055391056719363174,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,impervious,0.5015639148807727,0.5015639148807727,0.0,0.5015639148807727,0.7076960719271852,0.5459817774505115,0.5540849420762415,-0.044417862569738786,-0.00810316462573002,-0.15361112985094372,28.66917706655887,196,85,0.0,0.0,0.0
