test_event,role,rule,size_m,score,metric,value,n_units,run_id
2006,development,f50,100,relelev_neg,object_auc,0.496765423322278,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,twi,cell_auc,0.8810905138077537,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,twi,cell_auc_sklearn,0.8810905138077536,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,twi,capture_0.2,0.85,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,twi,object_auc,0.8422664708504762,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,impervious,cell_auc,0.44275806558682956,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,impervious,cell_auc_sklearn,0.44275806558682945,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,impervious,capture_0.2,0.05,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,impervious,object_auc,0.5081832871054498,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_neg,cell_auc,0.9341452303505046,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_neg,cell_auc_sklearn,0.9341452303505045,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_neg,capture_0.2,0.9875,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_neg,object_auc,0.9169905877075856,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_acc_neg,cell_auc,0.9410811371481678,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_acc_neg,cell_auc_sklearn,0.9410811371481679,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_acc_neg,capture_0.2,0.9875,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,hand_acc_neg,object_auc,0.9213673295683819,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,L1,cell_auc,0.39169659453000527,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,L1,cell_auc_sklearn,0.39169659453000527,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,L1,capture_0.2,0.0,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,L1,object_auc,0.36931948820801597,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,z_sensitivity,cell_auc,0.7608482142857143,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,z_sensitivity,cell_auc_sklearn,0.7608482142857144,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,z_sensitivity,capture_0.2,0.3625,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,z_sensitivity,object_auc,0.7339420037034096,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,slope_neg,cell_auc,0.9050811647362501,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,slope_neg,cell_auc_sklearn,0.9050811647362502,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,slope_neg,capture_0.2,0.8831168831168831,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,slope_neg,object_auc,0.8851852285358418,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,relelev_neg,cell_auc,0.5029911872177847,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,relelev_neg,cell_auc_sklearn,0.5029911872177847,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,relelev_neg,capture_0.2,0.0,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,relelev_neg,object_auc,0.496765423322278,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,twi,cell_auc,0.878873685294035,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,twi,cell_auc_sklearn,0.878873685294035,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,twi,capture_0.2,0.8311688311688312,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,twi,object_auc,0.8422664708504762,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,impervious,cell_auc,0.4458749168731511,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,impervious,cell_auc_sklearn,0.4458749168731512,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,impervious,capture_0.2,0.05194805194805195,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,impervious,object_auc,0.5081832871054498,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_neg,cell_auc,0.9323597886918519,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_neg,cell_auc_sklearn,0.932359788691852,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_neg,capture_0.2,0.987012987012987,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_neg,object_auc,0.9169905877075856,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_acc_neg,cell_auc,0.939253390290922,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_acc_neg,cell_auc_sklearn,0.939253390290922,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_acc_neg,capture_0.2,0.987012987012987,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,hand_acc_neg,object_auc,0.9213673295683819,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,L1,cell_auc,0.38453631123864657,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,L1,cell_auc_sklearn,0.3845363112386465,77,m4_20260926T164939Z_390f3fc
