verdict,rule,size_m,config_class,other,diff_ref,diff,material_reversal
V1,f10,200,size_only,hand_neg,-0.48604053865047775,-0.5110659401808224,False
V1,f10,200,size_only,hand_acc_neg,-0.4848484151615086,-0.5041314240574166,False
V1,f10,200,size_only,z_sensitivity,-0.2991048182339064,-0.30714858807318646,False
V1,f10,200,size_only,rf_F1_wf,-0.4075544816095638,-0.403658198312856,False
V1,f10,200,size_only,logit_F1_wf,-0.41059158473372864,-0.409460323193927,False
V2,f10,200,size_only,slope_neg,-0.08062375096546393,-0.06123105445383725,False
V2,f10,200,size_only,relelev_neg,0.24240681919101803,0.24923275322002425,False
V2,f10,200,size_only,twi,-0.04935528729476246,-0.05083914133462886,False
V2,f10,200,size_only,impervious,-0.016811175287431368,-0.05136788229794709,False
V2,f10,200,size_only,hand_neg,-0.07073425056127736,-0.07508576499203756,False
V2,f10,200,size_only,hand_acc_neg,-0.08632337686517555,-0.0824021328347212,False
V2,f10,200,size_only,z_sensitivity,-0.082863846552516,-0.08626492469318703,False
V2,f10,200,size_only,rf_F1_wf,-0.06348447564061732,-0.05562790942399143,False
V2,f10,200,size_only,logit_F1_wf,-0.05483917335882804,-0.03078934436895786,False
V1,f10,500,size_only,slope_neg,-0.48602921064533106,-0.5000452761847269,False
V1,f10,500,size_only,relelev_neg,-0.02658659385314549,-0.07650166012677334,False
V1,f10,500,size_only,twi,-0.4549179144959405,-0.5127829761545428,False
V1,f10,500,size_only,impervious,0.007884360784997269,-0.08201592212496228,False
V1,f10,500,size_only,hand_neg,-0.48604053865047775,-0.5239341231512225,False
V1,f10,500,size_only,hand_acc_neg,-0.4848484151615086,-0.5185745547841836,False
V1,f10,500,size_only,z_sensitivity,-0.2991048182339064,-0.3343080289767583,False
V1,f10,500,size_only,rf_F1_wf,-0.4075544816095638,-0.41699743434953224,False
V1,f10,500,size_only,logit_F1_wf,-0.41059158473372864,-0.42553199517054024,False
V2,f10,500,size_only,slope_neg,-0.08062375096546393,-0.05724719842320947,False
V2,f10,500,size_only,relelev_neg,0.24240681919101803,0.19878493579844336,False
V2,f10,500,size_only,twi,-0.04935528729476246,-0.06878628965876821,False
V2,f10,500,size_only,impervious,-0.016811175287431368,-0.043017922604704606,False
V2,f10,500,size_only,hand_neg,-0.07073425056127736,-0.0837689259269383,False
V2,f10,500,size_only,hand_acc_neg,-0.08632337686517555,-0.0834197210418357,False
V2,f10,500,size_only,z_sensitivity,-0.082863846552516,-0.05776745956130014,False
V2,f10,500,size_only,rf_F1_wf,-0.06348447564061732,-0.05731928177396606,False
V2,f10,500,size_only,logit_F1_wf,-0.05483917335882804,-0.052185076142549414,False
V1,f10,1000,size_only,slope_neg,-0.48602921064533106,-0.5154345107846201,False
V1,f10,1000,size_only,relelev_neg,-0.02658659385314549,-0.13269771803688646,False
V1,f10,1000,size_only,twi,-0.4549179144959405,-0.536202719599875,False
V1,f10,1000,size_only,impervious,0.007884360784997269,-0.18410050015629875,False
V1,f10,1000,size_only,hand_neg,-0.48604053865047775,-0.5351281650515787,False
V1,f10,1000,size_only,hand_acc_neg,-0.4848484151615086,-0.5261800562675836,False
V1,f10,1000,size_only,z_sensitivity,-0.2991048182339064,-0.380626758361988,False
V1,f10,1000,size_only,rf_F1_wf,-0.4075544816095638,-0.44439668646452,False
V1,f10,1000,size_only,logit_F1_wf,-0.41059158473372864,-0.45072678962175683,False
V2,f10,1000,size_only,slope_neg,-0.08062375096546393,-0.012044967880085689,False
V2,f10,1000,size_only,relelev_neg,0.24240681919101803,0.17731801765527666,False
V2,f10,1000,size_only,twi,-0.04935528729476246,-0.0432949678800858,False
V2,f10,1000,size_only,impervious,-0.016811175287431368,-0.08110278372591018,False
V2,f10,1000,size_only,hand_neg,-0.07073425056127736,-0.01525695931477522,False
V2,f10,1000,size_only,hand_acc_neg,-0.08632337686517555,-0.02951017130620992,False
V2,f10,1000,size_only,z_sensitivity,-0.082863846552516,-0.09716274089935772,False
V2,f10,1000,size_only,rf_F1_wf,-0.06348447564061732,-0.0019279228051056752,False
V2,f10,1000,size_only,logit_F1_wf,-0.05483917335882804,0.016527419364678386,False
V1,f25,100,rule_only,slope_neg,-0.48602921064533106,-0.5118277555841614,False
V1,f25,100,rule_only,relelev_neg,-0.02658659385314549,-0.03673835374971807,False
V1,f25,100,rule_only,twi,-0.4549179144959405,-0.4800790205763331,False
V1,f25,100,rule_only,impervious,0.007884360784997269,0.007303338070718091,False
V1,f25,100,rule_only,hand_neg,-0.48604053865047775,-0.5084842217529942,False
V1,f25,100,rule_only,hand_acc_neg,-0.4848484151615086,-0.5097466429763226,False
V1,f25,100,rule_only,z_sensitivity,-0.2991048182339064,-0.31180910796317907,False
V1,f25,100,rule_only,rf_F1_wf,-0.4075544816095638,-0.42675817093854496,False
V1,f25,100,rule_only,logit_F1_wf,-0.41059158473372864,-0.42964564537012595,False
V2,f25,100,rule_only,slope_neg,-0.08062375096546393,-0.11629043526895666,False
V2,f25,100,rule_only,relelev_neg,0.24240681919101803,0.2644487746513168,False
V2,f25,100,rule_only,twi,-0.04935528729476246,-0.07397607224989844,False
V2,f25,100,rule_only,impervious,-0.016811175287431368,0.0971054572508383,False
V2,f25,100,rule_only,hand_neg,-0.07073425056127736,-0.07567637084467138,False
V2,f25,100,rule_only,hand_acc_neg,-0.08632337686517555,-0.09761989631504908,False
V2,f25,100,rule_only,z_sensitivity,-0.082863846552516,-0.06844776528418939,False
V2,f25,100,rule_only,rf_F1_wf,-0.06348447564061732,-0.062297962781007965,False
V2,f25,100,rule_only,logit_F1_wf,-0.05483917335882804,-0.048605897544665155,False
V1,f25,200,both,slope_neg,-0.48602921064533106,-0.5286104288531961,False
V1,f25,200,both,relelev_neg,-0.02658659385314549,-0.049683335497192616,False
V1,f25,200,both,twi,-0.4549179144959405,-0.5159734610069595,False
V1,f25,200,both,impervious,0.007884360784997269,-0.018629672379847972,False
V1,f25,200,both,hand_neg,-0.48604053865047775,-0.5478171402554304,False
V1,f25,200,both,hand_acc_neg,-0.4848484151615086,-0.5420956591797136,False
V1,f25,200,both,z_sensitivity,-0.2991048182339064,-0.32943334750216535,False
V1,f25,200,both,rf_F1_wf,-0.4075544816095638,-0.4328225736171606,False
V1,f25,200,both,logit_F1_wf,-0.41059158473372864,-0.44019994059761647,False
V2,f25,200,both,slope_neg,-0.08062375096546393,-0.09509597077136822,False
V2,f25,200,both,relelev_neg,0.24240681919101803,0.2373480855721274,False
V2,f25,200,both,twi,-0.04935528729476246,-0.0713496247799712,False
V2,f25,200,both,impervious,-0.016811175287431368,-0.0569896567694127,False
V2,f25,200,both,hand_neg,-0.07073425056127736,-0.09419271667667961,False
V2,f25,200,both,hand_acc_neg,-0.08632337686517555,-0.10861575670251622,False
V2,f25,200,both,z_sensitivity,-0.082863846552516,-0.09525549323316007,False
V2,f25,200,both,rf_F1_wf,-0.06348447564061732,-0.07379654813369574,False
V2,f25,200,both,logit_F1_wf,-0.05483917335882804,-0.05109529070799368,False
V1,f25,500,both,slope_neg,-0.48602921064533106,-0.5687380563166258,False
V1,f25,500,both,relelev_neg,-0.02658659385314549,-0.10112702323118372,False
V1,f25,500,both,twi,-0.4549179144959405,-0.576854005019225,False
V1,f25,500,both,impervious,0.007884360784997269,-0.07251110906453623,False
V1,f25,500,both,hand_neg,-0.48604053865047775,-0.5857757926000968,False
V1,f25,500,both,hand_acc_neg,-0.4848484151615086,-0.5816257223769945,False
V1,f25,500,both,z_sensitivity,-0.2991048182339064,-0.3712499712200401,False
V1,f25,500,both,rf_F1_wf,-0.4075544816095638,-0.4621198167292152,False
V1,f25,500,both,logit_F1_wf,-0.41059158473372864,-0.4718071512444456,False
V2,f25,500,both,slope_neg,-0.08062375096546393,-0.08619244799369008,False
V2,f25,500,both,relelev_neg,0.24240681919101803,0.1783496007098493,False
V2,f25,500,both,twi,-0.04935528729476246,-0.12481716403728016,False
V2,f25,500,both,impervious,-0.016811175287431368,-0.09878734102336584,False
V2,f25,500,both,hand_neg,-0.07073425056127736,-0.1002602954996139,False
V2,f25,500,both,hand_acc_neg,-0.08632337686517555,-0.10302671793355012,False
V2,f25,500,both,z_sensitivity,-0.082863846552516,-0.11222025041900807,False
V2,f25,500,both,rf_F1_wf,-0.06348447564061732,-0.06731243221926453,False
V2,f25,500,both,logit_F1_wf,-0.05483917335882804,-0.07547157611481714,False
V1,f25,1000,both,slope_neg,-0.48602921064533106,-0.6191778146665364,False
V1,f25,1000,both,relelev_neg,-0.02658659385314549,-0.1570159164144127,False
V1,f25,1000,both,twi,-0.4549179144959405,-0.6259154379455132,False
V1,f25,1000,both,impervious,0.007884360784997269,-0.16887999218826288,False
V1,f25,1000,both,hand_neg,-0.48604053865047775,-0.6278683722292745,False
V1,f25,1000,both,hand_acc_neg,-0.4848484151615086,-0.6220583927350846,False
V1,f25,1000,both,z_sensitivity,-0.2991048182339064,-0.45034664583536754,False
V1,f25,1000,both,rf_F1_wf,-0.4075544816095638,-0.5065911532076947,False
V1,f25,1000,both,logit_F1_wf,-0.41059158473372864,-0.5212381603359048,False
V2,f25,1000,both,slope_neg,-0.08062375096546393,-0.6191778146665364,False
V2,f25,1000,both,relelev_neg,0.24240681919101803,-0.1570159164144127,True
