rule,size_m,score,metric,role_group,median,n_events
any,500,hand_neg,capture_0.2,holdout,0.4636363636363636,4
any,500,hand_neg,cell_auc,all,0.7793018743056954,10
any,500,hand_neg,cell_auc,development,0.7979892697063522,6
any,500,hand_neg,cell_auc,holdout,0.7670010831520933,4
any,500,hand_neg,object_auc,all,0.8197492669777862,10
any,500,hand_neg,object_auc,development,0.8505107888449123,6
any,500,hand_neg,object_auc,holdout,0.8197492669777862,4
any,500,impervious,capture_0.2,all,0.6314102564102564,10
any,500,impervious,capture_0.2,development,0.4595352564102564,6
any,500,impervious,capture_0.2,holdout,0.875,4
any,500,impervious,cell_auc,all,0.83943598772939,10
any,500,impervious,cell_auc,development,0.7935256827089912,6
any,500,impervious,cell_auc,holdout,0.8723762308662151,4
any,500,impervious,object_auc,all,0.8334437255056963,10
any,500,impervious,object_auc,development,0.8055248235910709,6
any,500,impervious,object_auc,holdout,0.8710344571966523,4
any,500,logit_F1_wf,capture_0.2,all,0.5818181818181818,9
any,500,logit_F1_wf,capture_0.2,development,0.625,5
any,500,logit_F1_wf,capture_0.2,holdout,0.5409090909090909,4
any,500,logit_F1_wf,cell_auc,all,0.8263282172373081,9
any,500,logit_F1_wf,cell_auc,development,0.8405931532601167,5
any,500,logit_F1_wf,cell_auc,holdout,0.8188004436041854,4
any,500,logit_F1_wf,object_auc,all,0.8573294156056155,9
any,500,logit_F1_wf,object_auc,development,0.8642057837492472,5
any,500,logit_F1_wf,object_auc,holdout,0.8542790307576946,4
any,500,relelev_neg,capture_0.2,all,0.08798701298701297,10
any,500,relelev_neg,capture_0.2,development,0.03571428571428571,6
any,500,relelev_neg,capture_0.2,holdout,0.11477272727272728,4
any,500,relelev_neg,cell_auc,all,0.6047324263693044,10
any,500,relelev_neg,cell_auc,development,0.5769038242436588,6
any,500,relelev_neg,cell_auc,holdout,0.631210004161944,4
any,500,relelev_neg,object_auc,all,0.6208056688577314,10
any,500,relelev_neg,object_auc,development,0.6022427022700099,6
any,500,relelev_neg,object_auc,holdout,0.6391655452254205,4
any,500,rf_F1_wf,capture_0.2,all,0.625,9
any,500,rf_F1_wf,capture_0.2,development,0.7,5
any,500,rf_F1_wf,capture_0.2,holdout,0.6125,4
any,500,rf_F1_wf,cell_auc,all,0.8398465171192443,9
any,500,rf_F1_wf,cell_auc,development,0.8462941002075304,5
any,500,rf_F1_wf,cell_auc,holdout,0.8322386204503164,4
any,500,rf_F1_wf,object_auc,all,0.8725999479972646,9
any,500,rf_F1_wf,object_auc,development,0.8725999479972646,5
any,500,rf_F1_wf,object_auc,holdout,0.8731119861266149,4
any,500,slope_neg,capture_0.2,all,0.625,10
any,500,slope_neg,capture_0.2,development,0.6467857142857143,6
any,500,slope_neg,capture_0.2,holdout,0.5625,4
any,500,slope_neg,cell_auc,all,0.7914801249963646,10
any,500,slope_neg,cell_auc,development,0.8124883018808049,6
any,500,slope_neg,cell_auc,holdout,0.7738458982465031,4
any,500,slope_neg,object_auc,all,0.8049597088346878,10
